Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          Theta_r_u  Theta_s_u  Alpha_u    N_u        Ks_u       Ko_u       L_u        
                           cm3/cm3    cm3/cm3    log(1/cm)  Log10      L(cm/day)  L(cm/day)  No units   cm3/cm3    cm3/cm3    log(1/cm)  Log10      L(cm/day)  L(cm/day)  No units   
341     M18C               0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
342     M110A              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
343     M110B              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
344     M110BC             0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
345     M110Ab             0.04126    0.38778   -1.61026    0.14824    1.55780    1.11064   -0.90229    0.00496    0.00617    0.04544    0.00841    0.10876    0.20735    0.77484
346     M21A               0.05172    0.38057   -1.49682    0.14479    1.52858    1.17058   -1.26410    0.00480    0.00584    0.04281    0.00778    0.07938    0.23990    0.90100
347     M21B               0.05089    0.38404   -1.52972    0.14013    1.47104    1.13269   -1.23090    0.00466    0.00624    0.04005    0.00713    0.10131    0.23161    0.89456
348     M21B2              0.04255    0.38461   -1.45713    0.15445    1.65960    1.30229   -1.13569    0.00563    0.00639    0.04264    0.00893    0.07601    0.22623    0.83962
349     M21Cr              0.05089    0.38404   -1.52972    0.14013    1.47104    1.13269   -1.23090    0.00466    0.00624    0.04005    0.00713    0.10131    0.23161    0.89456
350     M23A               0.04299    0.38305   -1.41139    0.22141    1.95699    1.45512   -0.93178    0.00500    0.00626    0.04468    0.01264    0.06015    0.23805    0.66419
351     M23B               0.04299    0.38305   -1.41139    0.22141    1.95699    1.45512   -0.93178    0.00500    0.00626    0.04468    0.01264    0.06015    0.23805    0.66419
352     M23B               0.04878    0.37858   -1.46237    0.20863    1.89031    1.32215   -0.97698    0.00465    0.00568    0.03671    0.01234    0.07125    0.23974    0.67629
353     M23BC              0.04299    0.38305   -1.41139    0.22141    1.95699    1.45512   -0.93178    0.00500    0.00626    0.04468    0.01264    0.06015    0.23805    0.66419
354     M23R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
355     M25A               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
356     M25AB              0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
357     M25B               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
358     M25B2              0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
359     M25C               0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
360     M26A               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
361     M26B               0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
362     M26Ab              0.04255    0.38461   -1.45713    0.15445    1.65960    1.30229   -1.13569    0.00563    0.00639    0.04264    0.00893    0.07601    0.22623    0.83962
363     M26C               0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
364     M26Ab2             0.05836    0.39891   -1.91916    0.16651    1.04712    0.62773   -0.40940    0.00411    0.00563    0.05421    0.01021    0.16377    0.20841    0.80731
365     M27A               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
366     M27Bw              0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
367     M27Ab              0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
368     M27C               0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
369     M28A               0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
370     M28B               0.03533    0.39060   -1.34350    0.23767    2.03494    1.62919   -0.88237    0.00604    0.00872    0.07035    0.01631    0.10637    0.24423    0.69549
371     M28BC              0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
372     M28Ab              0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
373     M29A               0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
374     M29B               0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
375     M29B2              0.04299    0.38305   -1.41139    0.22141    1.95699    1.45512   -0.93178    0.00500    0.00626    0.04468    0.01264    0.06015    0.23805    0.66419
376     M210A              0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
377     M210B              0.03533    0.39060   -1.34350    0.23767    2.03494    1.62919   -0.88237    0.00604    0.00872    0.07035    0.01631    0.10637    0.24423    0.69549
378     M210B2             0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
379     M210B3             0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
380     M210B4             0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
381     M210B5             0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
382     M31A               0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
383     M31B               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
384     M31B2              0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
385     M31B3              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
386     M31B4              0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
387     M32A               0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
388     M32B               0.03570    0.38962   -1.50073    0.15002    1.69928    1.29009   -1.00946    0.00615    0.00761    0.04792    0.00955    0.10432    0.20985    0.81806
389     M32B2              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
390     M32C               0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
391     M33A               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
392     M33B               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
393     M33Bw              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
394     M33C               0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
395     M35A               0.04556    0.38890   -1.72341    0.15318    1.43098    0.94460   -0.71387    0.00423    0.00625    0.05620    0.00920    0.10855    0.20349    0.73179
396     M35B               0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
397     M35C               0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
398     M35C2              0.02950    0.39697   -1.38464    0.16363    1.87182    1.51170   -1.00825    0.00730    0.01273    0.07300    0.01437    0.15939    0.21502    0.85707
399     M37A               0.04463    0.38235   -1.41805    0.30157    2.20986    1.48887   -0.84449    0.00367    0.00521    0.04023    0.01103    0.06876    0.24312    0.57812
400     M37Bw              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
401     M37B               0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
402     M37Ab              0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
403     M38A               0.03586    0.39484   -1.74165    0.15809    1.60841    1.00132   -0.51438    0.00586    0.00852    0.06072    0.00924    0.14736    0.19119    0.69212
404     M38B               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
405     M38B2              0.04255    0.38461   -1.45713    0.15445    1.65960    1.30229   -1.13569    0.00563    0.00639    0.04264    0.00893    0.07601    0.22623    0.83962
406     M38B3              0.04126    0.38778   -1.61026    0.14824    1.55780    1.11064   -0.90229    0.00496    0.00617    0.04544    0.00841    0.10876    0.20735    0.77484
407     M38B4              0.05146    0.38972   -1.70044    0.14887    1.34114    0.93102   -0.84707    0.00417    0.00565    0.05236    0.00898    0.10367    0.21110    0.77365
408     M38B5              0.04151    0.38631   -1.51581    0.14731    1.60222    1.22501   -1.07964    0.00546    0.00588    0.03967    0.00793    0.09515    0.21726    0.83171
409     M42A               0.02835    0.40485   -1.58359    0.15285    1.83020    1.26314   -0.71191    0.00774    0.01352    0.06802    0.01217    0.22879    0.19027    0.75891
410     M42B               0.02848    0.40044   -1.46628    0.15290    1.85545    1.40211   -0.93245    0.00754    0.01358    0.06657    0.01313    0.20182    0.20157    0.83398
411     M42B2              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
412     M42C               0.02950    0.39697   -1.38464    0.16363    1.87182    1.51170   -1.00825    0.00730    0.01273    0.07300    0.01437    0.15939    0.21502    0.85707
413     M42Ab              0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
414     M42C2              0.02950    0.39697   -1.38464    0.16363    1.87182    1.51170   -1.00825    0.00730    0.01273    0.07300    0.01437    0.15939    0.21502    0.85707
415     M42Ab2             0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
416     M43A               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
417     M43B               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
418     M43B2              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
419     M43B3              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
420     M43Bk              0.06125    0.39696   -1.75775    0.14858    1.12911    0.79986   -0.82729    0.00503    0.00690    0.05909    0.00937    0.10298    0.21448    0.80953
421     M43Btk             0.06764    0.41130   -1.94694    0.16527    0.88942    0.54324   -0.41961    0.00535    0.00710    0.06088    0.00926    0.20827    0.21455    0.87780
422     M44A               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
423     M44B               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
424     M44CB              0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
425     M44C               0.03533    0.39060   -1.34350    0.23767    2.03494    1.62919   -0.88237    0.00604    0.00872    0.07035    0.01631    0.10637    0.24423    0.69549
426     M45A               0.04481    0.38217   -1.43898    0.17306    1.75189    1.33796   -1.08158    0.00533    0.00644    0.04220    0.01109    0.06477    0.23379    0.78153
427     M45B               0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
428     M45C               0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
429     M46A               0.02950    0.39697   -1.38464    0.16363    1.87182    1.51170   -1.00825    0.00730    0.01273    0.07300    0.01437    0.15939    0.21502    0.85707
430     M46B               0.02848    0.40044   -1.46628    0.15290    1.85545    1.40211   -0.93245    0.00754    0.01358    0.06657    0.01313    0.20182    0.20157    0.83398
431     M46Bt              0.05940    0.38703   -1.58428    0.13202    1.27392    1.00079   -1.30180    0.00518    0.00639    0.04658    0.00761    0.10439    0.23719    0.94460
432     M46CB              0.05601    0.38279   -1.53733    0.13409    1.38229    1.07815   -1.34146    0.00483    0.00598    0.04577    0.00712    0.09544    0.24109    0.95094
433     M46R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
434     M47A               0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
435     M47B               0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
436     M47C               0.05146    0.38972   -1.70044    0.14887    1.34114    0.93102   -0.84707    0.00417    0.00565    0.05236    0.00898    0.10367    0.21110    0.77365
437     M47Cr              0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
438     M47R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
439     M49Ap              0.06979    0.40736   -1.78988    0.14560    0.92171    0.70991   -0.84020    0.00596    0.00749    0.06093    0.00863    0.12823    0.21907    0.86761
440     M49Ap              0.06979    0.40736   -1.78988    0.14560    0.92171    0.70991   -0.84020    0.00596    0.00749    0.06093    0.00863    0.12823    0.21907    0.86761
441     M49B               0.05781    0.39513   -1.78572    0.15346    1.17379    0.78896   -0.71667    0.00452    0.00617    0.05981    0.00973    0.09963    0.20991    0.77707
442     M49Cr              0.03586    0.39484   -1.74165    0.15809    1.60841    1.00132   -0.51438    0.00586    0.00852    0.06072    0.00924    0.14736    0.19119    0.69212
443     M49R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
