"Plot","ClassAtotal","ClassBtotal","ClassCtotal","ClassDtotal","ClassEtotal"
"IL3_6",7,0,9,2,0
"IL3_7",0,1,2,0,0
"IL3_7",0,0,5,0,0
"IL3_7",0,0,0,2,0
"IL3_9",0,0,10,2,0
"IL3_9",0,0,9,3,0
"IL3_9",0,0,16,6,0
"IL4_10",0,0,5,7,0
"IL4_10",1,0,7,2,1
"IL4_10",0,0,2,2,0
"IL4_2",0,0,3,3,0
"IL4_2",0,1,1,0,0
"IL4_2",0,0,0,0,0
"IL4_3",0,0,0,0,0
"IL4_3",0,0,0,0,0
"IL4_3",0,0,0,0,0
"IL4_4",0,0,2,0,0
"IL4_4",0,0,0,0,0
"IL4_4",0,0,0,0,0
"IL4_5",1,0,0,0,0
"IL4_5",0,1,1,0,0
"IL4_5",1,1,3,0,0
"IL4_7",0,0,0,0,0
"IL4_7",0,0,0,0,0
"IL4_7",0,0,0,0,0
"IL4_8",5,1,9,0,0
"IL4_8",10,1,8,0,0
"IL4_8",15,3,16,0,0
"IL4_9",0,0,2,0,0
"IL4_9",0,0,0,0,0
"IL4_9",0,0,0,0,0
"M1_1",0,0,0,2,1
"M1_1",0,0,0,0,0
"M1_1",0,0,3,0,0
"M1_1",0,0,0,0,0
"M1_1",0,0,1,0,0
"M1_1",0,0,0,0,0
"M1_10",0,0,0,0,0
"M1_10",0,0,0,0,0
"M1_10",0,0,0,0,0
"M1_2",0,7,14,2,0
"M1_2",0,2,10,1,0
"M1_2",0,0,1,0,0
"M1_4",0,0,0,0,0
"M1_4",0,1,0,0,0
"M1_4",0,0,0,0,0
"M1_5",0,1,3,0,0
"M1_5",0,0,2,0,0
"M1_5",0,1,1,1,0
"M1_6",0,0,0,0,0
"M1_6",0,0,0,0,0
"M1_6",0,0,0,0,0
"M1_7",0,0,0,0,0
"M1_7",0,0,0,0,0
"M1_7",0,0,1,0,0
"M1_8",0,0,0,0,0
"M1_8",0,0,0,0,0
"M1_8",0,0,0,0,0
"M2_1",0,0,6,0,0
"M2_1",0,0,3,1,0
"M2_1",0,0,4,0,0
"M2_10",0,0,0,0,0
"M2_10",0,0,0,0,0
"M2_10",0,0,0,0,0
"M2_3",0,0,0,0,0
"M2_3",0,0,0,0,0
"M2_3",0,0,0,0,0
"M2_5",0,0,0,0,0
"M2_5",0,0,0,0,0
"M2_5",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_8",0,0,0,0,0
"M2_8",0,0,0,0,0
"M2_8",0,0,0,0,0
"M2_9",0,0,0,0,0
"M2_9",0,0,0,0,0
"M2_9",0,0,1,0,0
"M3_1",0,0,0,0,0
"M3_1",0,0,0,0,0
"M3_1",0,0,0,0,0
"M3_2",2,0,3,1,0
"M3_2",0,0,5,1,0
"M3_2",0,0,2,0,0
"M3_3",0,0,4,0,0
"M3_3",0,0,1,0,0
"M3_3",1,0,0,0,0
"M3_5",0,0,0,0,0
"M3_5",0,0,0,0,0
"M3_5",0,0,0,0,0
"M3_7",0,0,0,0,0
"M3_7",0,0,0,0,0
"M3_7",0,0,2,0,0
"M3_8",0,0,0,0,0
"M3_8",0,0,0,0,0
"M3_8",0,0,0,0,0
"M4_2",0,0,1,0,0
"M4_2",3,0,2,0,0
"M4_2",0,0,1,0,0
"M4_3",0,0,0,0,0
"M4_3",0,2,0,0,0
"M4_3",0,0,2,1,0
"M4_4",0,0,0,0,0
"M4_4",0,0,0,0,0
"M4_4",0,0,0,0,0
"M4_5",0,0,0,0,0
"M4_5",0,0,0,0,0
"M4_5",0,0,0,0,0
"M4_5",0,0,0,0,0
"M4_5",0,0,0,0,0
"M4_5",0,0,0,0,0
"M4_6",1,0,0,1,0
"M4_6",0,0,0,0,0
"M4_6",0,1,0,0,0
"M4_6",0,0,0,0,0
"M4_6",0,0,2,0,0
"M4_6",0,0,0,0,0
"M4_7",0,0,2,0,0
"M4_7",0,0,0,0,0
"M4_7",1,0,3,0,0
"M4_7",0,0,0,0,0
"M4_7",0,0,0,0,0
"M4_7",0,0,0,0,0
"M4_9",8,6,43,7,0
"M4_9",1,0,21,5,0
"M4_9",2,0,15,1,1
