Plot,Line,SpeciesCode,ClassAtotal,ClassBtotal,ClassCtotal,ClassDtotal,ClassEtotal,ClassTotal,,Plot,Line,Indicator,Any Hit N
B2_2,4,ARTR2/D,0,7,10,0,0,17,,B1_7,2,ARTR2/D,2
B2_4,2,ARTR2/D,0,9,6,0,0,15,,B1_7,3,ARTR2/D,1
B2_4,3,ARTR2/D,0,8,4,0,0,12,,B1_7,4,ARTR2/D,2
B2_4,4,ARTR2/D,0,7,12,0,0,19,,B1_7,5,ARTR2/D,3
B2_5,2,ARTR2/D,0,4,6,0,0,10,,B1_8,1,ARTR2/D,0
B2_5,3,ARTR2/D,0,2,9,2,0,13,,B1_8,2,ARTR2/D,0
B2_5,4,ARTR2/D,0,6,10,2,0,18,,B1_8,3,ARTR2/D,0
B2_6,2,ARTR2/D,0,0,0,0,0,0,,B1_8,4,ARTR2/D,0
B2_6,3,ARTR2/D,0,0,0,0,0,0,,B1_8,5,ARTR2/D,0
B2_6,4,ARTR2/D,0,2,1,0,0,3,,B1_9,1,ARTR2/D,0
B2_7,2,ARTR2/D,0,4,6,0,0,10,,B1_9,2,ARTR2/D,2
B2_7,3,ARTR2/D,0,5,3,1,0,9,,B1_9,3,ARTR2/D,2
B2_7,4,ARTR2/D,0,0,7,1,0,8,,B1_9,4,ARTR2/D,3
B2_8,2,ARTR2/D,0,0,0,0,0,0,,B1_9,5,ARTR2/D,0
B2_8,3,ARTR2/D,0,1,1,0,0,2,,B2_1,1,ARTR2/D,0
B2_8,4,ARTR2/D,0,0,0,0,0,0,,B2_1,2,ARTR2/D,0
B2_9,2,ARTR2/D,0,4,13,3,0,20,,B2_1,3,ARTR2/D,0
B2_9,3,ARTR2/D,0,8,11,0,0,19,,B2_1,4,ARTR2/D,0
B2_9,4,ARTR2/D,0,6,9,0,0,15,,B2_1,5,ARTR2/D,0
B3_1,2,ARTR2/D,0,4,6,0,0,10,,B2_10,1,ARTR2/D,1
B3_1,3,ARTR2/D,0,4,3,0,0,7,,B2_10,2,ARTR2/D,2
B3_1,4,ARTR2/D,0,2,11,1,0,14,,B2_10,3,ARTR2/D,2
B3_10,2,ARTR2/D,0,2,3,1,0,6,,B2_10,4,ARTR2/D,1
B3_10,3,ARTR2/D,0,7,4,0,0,11,,B2_10,5,ARTR2/D,4
B3_10,4,ARTR2/D,0,1,10,0,0,11,,B2_2,1,ARTR2/D,2
B3_2,2,ARTR2/D,0,5,9,0,0,14,,B2_2,2,ARTR2/D,2
B3_2,3,ARTR2/D,0,4,8,0,0,12,,B2_2,3,ARTR2/D,4
B3_2,4,ARTR2/D,0,4,5,0,0,9,,B2_2,4,ARTR2/D,1
B3_3,2,ARTR2/D,0,0,0,0,0,0,,B2_2,5,ARTR2/D,0
B3_3,3,ARTR2/D,0,0,0,0,0,0,,B2_4,1,ARTR2/D,0
B3_3,4,ARTR2/D,0,0,0,0,0,0,,B2_4,2,ARTR2/D,0
B3_4,2,ARTR2/D,0,0,0,0,0,0,,B2_4,3,ARTR2/D,0
B3_4,3,ARTR2/D,0,0,0,0,0,0,,B2_4,4,ARTR2/D,1
B3_4,4,ARTR2/D,0,2,0,0,0,2,,B2_4,5,ARTR2/D,2
B3_5,2,ARTR2/D,0,0,0,0,0,0,,B2_5,1,ARTR2/D,1
B3_5,3,ARTR2/D,0,0,0,0,0,0,,B2_5,2,ARTR2/D,1
B3_5,4,ARTR2/D,0,0,0,0,0,0,,B2_5,3,ARTR2/D,2
B3_6,2,ARTR2/D,0,1,14,6,0,21,,B2_5,4,ARTR2/D,0
B3_6,3,ARTR2/D,0,8,9,1,0,18,,B2_5,5,ARTR2/D,2
B3_6,4,ARTR2/D,0,4,20,3,0,27,,B2_6,1,ARTR2/D,0
B3_7,2,ARTR2/D,0,14,7,3,0,24,,B2_6,2,ARTR2/D,0
B3_7,3,ARTR2/D,0,5,8,1,0,14,,B2_6,3,ARTR2/D,0
B3_7,4,ARTR2/D,0,7,9,0,0,16,,B2_6,4,ARTR2/D,1
B3_8,2,ARTR2/D,0,3,0,0,0,3,,B2_6,5,ARTR2/D,0
B3_8,3,ARTR2/D,0,0,0,0,0,0,,B2_7,1,ARTR2/D,3
B3_8,4,ARTR2/D,0,1,2,0,0,3,,B2_7,2,ARTR2/D,4
B3_9,2,ARTR2/D,0,0,0,0,0,0,,B2_7,3,ARTR2/D,5
B3_9,3,ARTR2/D,0,0,0,0,0,0,,B2_7,4,ARTR2/D,2
B3_9,4,ARTR2/D,0,0,0,0,0,0,,B2_7,5,ARTR2/D,4
B4_1,2,ARTR2/D,0,1,6,0,0,7,,B2_8,1,ARTR2/D,0
B4_1,3,ARTR2/D,0,2,8,0,0,10,,B2_8,2,ARTR2/D,0
B4_1,4,ARTR2/D,0,3,6,0,0,9,,B2_8,3,ARTR2/D,0
B4_10,2,ARTR2/D,0,6,7,0,0,13,,B2_8,4,ARTR2/D,0
B4_10,3,ARTR2/D,0,2,12,0,0,14,,B2_8,5,ARTR2/D,0
B4_10,4,ARTR2/D,0,2,13,0,0,15,,B2_9,1,ARTR2/D,1
B4_2,2,ARTR2/D,0,2,2,0,0,4,,B2_9,2,ARTR2/D,1
B4_2,3,ARTR2/D,0,0,1,0,0,1,,B2_9,3,ARTR2/D,1
B4_2,4,ARTR2/D,0,3,2,0,0,5,,B2_9,4,ARTR2/D,2
B4_3,2,ARTR2/D,0,1,9,1,0,11,,B2_9,5,ARTR2/D,1
B4_3,3,ARTR2/D,0,1,7,3,0,11,,B3_1,1,ARTR2/D,0
B4_3,4,ARTR2/D,0,6,5,4,0,15,,B3_1,2,ARTR2/D,0
B4_4,2,ARTR2/D,0,3,5,0,0,8,,B3_1,3,ARTR2/D,0
B4_4,3,ARTR2/D,0,3,6,1,0,10,,B3_1,4,ARTR2/D,2
B4_4,4,ARTR2/D,0,3,8,0,0,11,,B3_1,5,ARTR2/D,4
B4_6,2,ARTR2/D,0,2,5,1,0,8,,B3_10,1,ARTR2/D,2
B4_6,3,ARTR2/D,0,2,4,0,0,6,,B3_10,2,ARTR2/D,2
B4_6,4,ARTR2/D,0,3,3,2,0,8,,B3_10,3,ARTR2/D,2
B4_7,2,ARTR2/D,0,0,0,0,0,0,,B3_10,4,ARTR2/D,1
B4_7,3,ARTR2/D,0,1,0,0,0,1,,B3_10,5,ARTR2/D,0
B4_7,4,ARTR2/D,0,0,0,0,0,0,,B3_2,1,ARTR2/D,0
B4_8,2,ARTR2/D,0,0,0,0,0,0,,B3_2,2,ARTR2/D,1
B4_8,3,ARTR2/D,0,0,0,0,0,0,,B3_2,3,ARTR2/D,0
B4_8,4,ARTR2/D,0,0,0,0,0,0,,B3_2,4,ARTR2/D,1
B4_9,2,ARTR2/D,0,1,5,0,0,6,,B3_2,5,ARTR2/D,0
B4_9,3,ARTR2/D,0,1,2,0,0,3,,B3_3,1,ARTR2/D,0
B4_9,4,ARTR2/D,0,1,0,0,0,1,,B3_3,2,ARTR2/D,0
IL1_1,2,ARTR2/D,0,2,7,3,0,12,,B3_3,3,ARTR2/D,0
IL1_1,3,ARTR2/D,0,1,3,0,0,4,,B3_3,4,ARTR2/D,0
IL1_1,4,ARTR2/D,0,2,3,2,0,7,,B3_3,5,ARTR2/D,0
IL1_10,2,ARTR2/D,0,0,1,0,0,1,,B3_4,1,ARTR2/D,0
IL1_10,3,ARTR2/D,0,3,0,1,0,4,,B3_4,2,ARTR2/D,0
IL1_10,4,ARTR2/D,0,0,1,0,0,1,,B3_4,3,ARTR2/D,0
IL1_3,2,ARTR2/D,0,0,0,0,0,0,,B3_4,4,ARTR2/D,0
IL1_3,3,ARTR2/D,0,0,0,0,0,0,,B3_4,5,ARTR2/D,0
IL1_3,4,ARTR2/D,0,0,0,0,0,0,,B3_5,1,ARTR2/D,0
IL1_4,2,ARTR2/D,0,5,10,1,0,16,,B3_5,2,ARTR2/D,0
IL1_4,3,ARTR2/D,0,3,2,0,0,5,,B3_5,3,ARTR2/D,0
IL1_4,4,ARTR2/D,0,5,6,0,1,12,,B3_5,4,ARTR2/D,0
IL1_5,2,ARTR2/D,0,1,3,0,0,4,,B3_5,5,ARTR2/D,0
IL1_5,3,ARTR2/D,0,3,3,0,0,6,,B3_6,1,ARTR2/D,2
IL1_5,4,ARTR2/D,0,2,2,0,0,4,,B3_6,2,ARTR2/D,9
IL1_8,2,ARTR2/D,0,0,0,0,0,0,,B3_6,3,ARTR2/D,2
IL1_8,3,ARTR2/D,0,0,5,2,0,7,,B3_6,4,ARTR2/D,3
IL1_8,4,ARTR2/D,0,1,2,0,0,3,,B3_6,5,ARTR2/D,7
IL1_9,2,ARTR2/D,0,1,2,0,0,3,,B3_7,1,ARTR2/D,7
IL1_9,3,ARTR2/D,0,0,0,0,0,0,,B3_7,2,ARTR2/D,2
IL1_9,4,ARTR2/D,0,1,1,1,0,3,,B3_7,3,ARTR2/D,4
IL2_1,2,ARTR2/D,0,1,5,0,0,6,,B3_7,4,ARTR2/D,0
IL2_1,3,ARTR2/D,0,2,2,0,0,4,,B3_7,5,ARTR2/D,1
IL2_1,4,ARTR2/D,0,1,6,0,0,7,,B3_8,1,ARTR2/D,0
IL2_10,2,ARTR2/D,0,6,14,1,0,21,,B3_8,2,ARTR2/D,1
IL2_10,3,ARTR2/D,0,7,10,1,0,18,,B3_8,3,ARTR2/D,0
IL2_10,4,ARTR2/D,0,6,15,0,0,21,,B3_8,4,ARTR2/D,1
IL2_2,2,ARTR2/D,0,0,0,0,0,0,,B3_8,5,ARTR2/D,0
IL2_2,3,ARTR2/D,0,0,0,0,0,0,,B3_9,1,ARTR2/D,0
IL2_2,4,ARTR2/D,0,0,0,0,0,0,,B3_9,2,ARTR2/D,0
IL2_3,2,ARTR2/D,3,9,4,0,0,16,,B3_9,3,ARTR2/D,0
IL2_3,3,ARTR2/D,0,2,4,0,0,6,,B3_9,4,ARTR2/D,0
IL2_3,4,ARTR2/D,0,3,5,2,0,10,,B3_9,5,ARTR2/D,0
IL2_4,2,ARTR2/D,0,2,0,0,0,2,,B4_1,1,ARTR2/D,0
IL2_4,3,ARTR2/D,0,0,3,0,0,3,,B4_1,2,ARTR2/D,2
