"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CHVI8.D","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LEMO2","OPPO","OPPO.D","PEPU7","PHAU3","PIED","PIED.D","PLPA2","SALSO","SPCR","SPCR.D","Total.Foliar","CLLU2","LAOC3","SALSO.D","SPCO","HIJA"
"B2_10",0,0,0,0.1,0.111111111111111,0,0,0.777777777777778,0.688888888888889,0.0444444444444444,0,0,0,0,0,0,0,0,0.0444444444444444,0,0,0.555555555555556,0.0222222222222222,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,1.53333333333333,0,0,0,0,0
"B2_2",0,0,0,0,0.1,0.0777777777777778,0,0.488888888888889,1.45555555555556,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0.277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0.366666666666667,0,2.2,0,0,0,0,0
"B2_4",0,0,0,0.0333333333333333,0.0333333333333333,0,0,0.333333333333333,1.21111111111111,0.0555555555555556,0.0111111111111111,0,0,0,0,0,0,0,0.0111111111111111,0,0,0.111111111111111,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0.0111111111111111,0.433333333333333,0.0333333333333333,1.93333333333333,0,0,0,0,0
"B2_5",0.0444444444444444,0,0,0,0.0666666666666667,0,0,0.388888888888889,1.17777777777778,0.0444444444444444,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0.211111111111111,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0,0.633333333333333,0.0222222222222222,2.17777777777778,0,0,0,0,0
"B2_6",0.0111111111111111,0,0,0,0.0111111111111111,0.0111111111111111,0,0.522222222222222,1.06666666666667,0.0333333333333333,0,0,0.1,0,0,0,0,0,0.0222222222222222,0,0,0.322222222222222,0,0,0.0111111111111111,0,0.0444444444444444,0,0,0,0,0,0.0111111111111111,0,0.233333333333333,0.0111111111111111,1.81111111111111,0,0,0,0,0
"B2_7",0.0111111111111111,0,0,0,0.2,0,0.0222222222222222,0.522222222222222,1.13333333333333,0.0333333333333333,0,0,0.0111111111111111,0,0.0111111111111111,0,0,0,0,0.0111111111111111,0.0111111111111111,0.188888888888889,0,0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0.366666666666667,0,1.91111111111111,0,0.0222222222222222,0,0,0
"B2_8",0,0,0,0,0,0,0,0.922222222222222,0.588888888888889,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0444444444444444,0,0,0,0,0.266666666666667,0.0111111111111111,0,0,0,0,0,0,0.844444444444444,0.0555555555555556,1.95555555555556,0,0,0,0,0
"B2_9",0,0,0,0.0555555555555556,0.0666666666666667,0.0111111111111111,0,0.766666666666667,1.17777777777778,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0.0444444444444444,0,0,0,0,0,0,0,0,0,0.333333333333333,0.0111111111111111,1.9,0,0,0,0,0
"B3_1",0.0444444444444444,0,0,0.0222222222222222,0.0666666666666667,0,0,0.6,0.777777777777778,0.0666666666666667,0,0,0,0,0,0,0.0111111111111111,0,0,0.277777777777778,0.0222222222222222,0.588888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0.0444444444444444,0.0111111111111111,1.7,0,0,0,0,0
"B3_10",0,0,0,0.177777777777778,0.0777777777777778,0.0333333333333333,0,0.455555555555556,0.744444444444444,0.0222222222222222,0,0,0,0,0,0.0111111111111111,0,0,0,0.0111111111111111,0.0111111111111111,0.2,0.0111111111111111,0.0555555555555556,0.0222222222222222,0,0,0,0,0,0.0555555555555556,0,0,0,0.466666666666667,0,1.74444444444444,0,0,0.0111111111111111,0,0
