"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CLLU2","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LAOC3","LEMO2","OPPO","OPPO.D","PEPU7","PIED","PLPA2","SALSO","SALSO.D","SPCO","SPCR","SPCR.D","Total.Foliar","CHVI8.D","HIJA"
"M3_2",5,0,0,4,26,3,0,54,94,2,0,0,3,0,0,1,0,0,0,10,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,174,0,0
"M3_3",21,0,0,2,1,6,4,46,85,2,0,0,18,0,0,0,0,0,0,1,1,63,0,0,0,1,0,1,0,0,0,0,0,0,3,15,0,197,0,0
"M3_5",0,0,0,0,18,2,2,25,128,3,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,1,0,0,1,0,0,0,53,0,215,0,0
"M3_7",0,9,0,2,1,0,0,44,16,6,12,0,0,2,0,0,0,0,1,0,0,0,0,0,2,14,0,1,1,0,0,5,0,4,1,38,17,127,0,0
"M3_8",7,0,0,0,26,9,0,51,81,4,2,0,0,0,0,0,0,0,0,2,2,49,1,0,0,0,0,5,0,0,0,2,0,0,0,21,1,177,0,0
"M4_2",14,0,0,5,0,7,1,33,70,1,0,0,21,0,0,0,1,0,0,4,0,41,0,0,3,1,0,0,0,0,0,0,0,0,0,41,0,179,3,0
"M4_3",8,0,0,0,13,1,0,25,127,6,0,0,4,0,1,0,1,0,0,4,0,60,1,0,0,0,0,2,0,0,0,0,0,0,0,14,1,210,1,0
"M4_4",0,3,0,0,1,0,0,63,115,3,0,0,0,2,0,0,0,0,0,0,0,16,1,0,3,0,0,12,1,0,0,2,0,0,0,21,1,164,0,0
"M4_5",0,13,0,0,0,0,0,38,35,7,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,24,0,10,0,0,0,1,0,0,0,53,17,144,0,0
"M4_6",6,0,0,2,19,6,0,45,66,5,0,0,7,0,0,1,0,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,153,0,0
"M4_7",8,0,1,0,9,2,0,40,62,2,0,0,49,0,0,0,0,0,0,1,1,28,0,0,0,0,1,1,0,1,0,0,0,0,0,4,0,152,1,0
"M4_9",0,0,1,35,4,9,0,108,85,3,0,0,0,0,0,2,0,0,0,7,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,9,0,151,0,0
