"","ACHY","ACHY.D","AF01","AMID","AMUT","ARNO4","ARPU9","ARPU9.D","ARTR2","ARTR2.D","ATCA2","ATCA2.D","BAMU","BOGR2","BOGR2.D","BRTE","CEMO2","CEMO2.D","CHLE4","CHVI8","CHVI8.D","CRAN4","CRFL5","ECCOC","ECCOC.D","ELEL5","EPVI","ERCI6","ERMI4","FRAN2","GRFA","GUMI","GUSA2","GUSA2.D","HECO26","HECO26.D","HYACA2","HYFI.D","JUOS","JUOS.D","KRLA2","LEMO2","MAFR3","MAGR2","OPPO","OPPO.D","PEPU7","PHAU3","PHAU3.D","PIED","PIED.D","PLPA2","PSSP","SALSO","SHRO","SPCO4","SPCR","SPCR.D","STUPID","SYOR2","SYOR2.D","Total.Litter","UNKCLOVER","UNKF2A","YUBA","YUBA.D","CLLU2","LAOC3","SALSO.D","SPCO","HIJA"
"48",0.0275229357798165,0,0,0,0,0,0,0,0.110091743119266,0.018348623853211,0.018348623853211,0.0275229357798165,0,0.275229357798165,0,0,0,0,0,0.073394495412844,0,0,0,0,0.00917431192660551,0,0,0,0,0,0,0,0,0,0.211009174311927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229357798165138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",0.0490196078431373,0,0,0,0,0,0,0,0.0980392156862745,0.0686274509803922,0.107843137254902,0.00980392156862745,0,0,0,0.00980392156862745,0,0,0,0.00980392156862745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00980392156862745,0,0,0,0.117647058823529,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.186274509803922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",0.0188679245283019,0,0,0,0,0,0,0,0.0377358490566038,0.132075471698113,0,0.0283018867924528,0,0.0943396226415094,0.0188679245283019,0,0,0,0,0,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0.00943396226415094,0,0.566037735849057,0,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0.0660377358490566,0,0,0,0,0,0,0,0
"59",0.0121951219512195,0,0,0,0,0,0,0,0,0.0731707317073171,0.0121951219512195,0.024390243902439,0,0.231707317073171,0.0121951219512195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731707317073171,0,0,0,0,0,0.207317073170732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0.0105263157894737,0,0,0,0,0,0,0,0.0210526315789474,0.136842105263158,0.0421052631578947,0,0,0.0842105263157895,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315789473684211,0,0,0,0,0,0.126315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0.0105263157894737,0,0,0.484210526315789,0.0421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",0.0505050505050505,0,0,0,0,0,0,0,0,0,0.0202020202020202,0,0,0.232323232323232,0.0202020202020202,0,0,0,0,0.0606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0.0101010101010101,0,0.0101010101010101,0,0,0,0.373737373737374,0,0,0.0101010101010101,0,0,0,0,0,0,0,0.171717171717172,0.0404040404040404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",0.0317460317460317,0,0,0,0,0,0,0,0,0,0.126984126984127,0.0158730158730159,0,0.365079365079365,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0.0396825396825397,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0.158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,0.0111111111111111,0.0333333333333333,0.0666666666666667,0.0444444444444444,0,0.344444444444444,0.0222222222222222,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0,0,0.0777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0.046875,0.0234375,0.015625,0,0.4296875,0.0078125,0.03125,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",0.0756302521008403,0,0,0,0,0,0,0,0,0,0.0252100840336134,0,0,0.294117647058824,0,0.0168067226890756,0,0,0,0,0,0,0,0,0,0.00840336134453781,0,0,0,0,0,0,0.00840336134453781,0.0168067226890756,0.327731092436975,0.00840336134453781,0,0,0.0420168067226891,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.0168067226890756,0,0,0,0,0,0.0168067226890756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
