"","L.DenM2.S","D.DenM2.S","L.D.DenM2.S","L.RelCov.S","D.RelCov.S","L.D.RelCov.S","L.RelCov.LPI","D.RelCov.LPI","L.D.RelCov.LPI","L.PropIndM2.S","L.PropCov.LPI","PG.RelCov.LPI"
"IL3_9",0.255555555555556,0.172222222222222,0.427777777777778,58.974358974359,39.7435897435897,98.7179487179487,0.813008090726419,8.13008127962192,8.94308937034834,0.597402597402597,0.0909090871239669,0.257641921
"IL4_10",0.15,0.1,0.25,48.2142857142857,32.1428571428571,80.3571428571429,0.862069006093936,5.17241385552913,6.03448286162307,0.6,0.142857147142857,0.366666667
"IL4_2",0.0444444444444444,0.183333333333333,0.227777777777777,12.9032258064516,53.2258064516129,66.1290322580645,11.0091742039054,1.83486243062032,12.8440366345257,0.195121951219512,0.857142852918368,0.391304348
"IL4_3",0,0.0666666666666667,0.0666666666666667,0,12.6315789473684,12.6315789473684,9.80392161585928,6.86274511257209,16.6666667284314,0,0.588235294771626,0.132275132
"IL4_4",0.0111111111111111,0.05,0.0611111111111111,14.2857142857143,64.2857142857143,78.5714285714286,2.12765956641014,4.25531913282028,6.38297869923042,0.181818181818182,0.333333333333333,0.06741573
"IL4_5",0.0444444444444444,0.0722222222222222,0.116666666666667,7.3394495412844,11.9266055045872,19.2660550458716,0,15.4639175317356,15.4639175317356,0.380952380952381,0,0.374331552
"IL4_7",0,0.288888888888889,0.288888888888889,0,73.2394366197183,73.2394366197183,0,0,0,0,NA,0
"IL4_8",0.377777777777778,0.0555555555555556,0.433333333333334,73.9130434782609,10.8695652173913,84.7826086956522,0,3.7974683592373,3.7974683592373,0.871794871794872,0,0.153333334
"IL4_9",0.0111111111111111,0.222222222222222,0.233333333333333,4.44444444444444,88.8888888888889,93.3333333333333,0,3.7037037909465,3.7037037909465,0.0476190476190476,0,0.245283019
"M1_1",0.0388888888888889,0,0.0388888888888889,5.64516129032258,0,5.64516129032258,3.96039613812371,13.8613860854132,17.8217822235369,1,0.222222227185185,0.378109454
"M1_10",0,0.05,0.05,0,56.25,56.25,0,11.7021276892825,11.7021276892825,0,0,0.457142857
"M1_2",0.205555555555556,0.222222222222222,0.427777777777778,17.2897196261682,18.6915887850467,35.981308411215,0,7.22891566034258,7.22891566034258,0.480519480519481,0,0.358490566
"M1_4",0.00555555555555556,0.0611111111111111,0.0666666666666667,0.636942675159236,7.00636942675159,7.64331210191083,2.08333329340278,13.5416666946181,15.6249999880208,0.0833333333333333,0.13333333088,0.347826087
"M1_5",0.05,0.211111111111111,0.261111111111111,14.2857142857143,60.3174603174603,74.6031746031746,0,0,0,0.191489361702128,NA,0.176470589
"M1_6",0,0,0,0,0,0,0,0,0,NA,NA,0
"M1_7",0.00555555555555556,0,0.00555555555555556,1.85185185185185,0,1.85185185185185,0,0,0,1,NA,0.455813954
"M1_8",0,0,0,0,0,0,1.42857149861224,2.85714280865306,4.28571430726531,NA,0.333333348,0.143939395
"M2_1",0.0777777777777778,0.227777777777778,0.305555555555556,18.9189189189189,55.4054054054054,74.3243243243243,0,0,0,0.254545454545455,NA,0
"M2_10",0,0,0,0,0,0,0,0,0,NA,NA,0.392241379
"M2_3",0,0.316666666666667,0.316666666666667,0,89.0625,89.0625,1.07526873874436,3.22580640332986,4.30107514207423,0,0.249999989125,0.396551723
"M2_5",0,0,0,0,0,0,0,0,0,NA,NA,0.063414634
"M2_6",0,0,0,0,0,0,0,3.61445791903034,3.61445791903034,NA,0,0.41509434
"M2_7",0,0,0,0,0,0,0,4.68750000299072,4.68750000299072,NA,0,0.457142858
"M2_8",0,0.0222222222222222,0.0222222222222222,0,15.3846153846154,15.3846153846154,1.9230768620932,9.6153846835429,11.5384615456361,0,0.166666661277778,0.30927835
"M2_9",0.00555555555555556,0.0611111111111111,0.0666666666666667,1.01010101010101,11.1111111111111,12.1212121212121,0,0,0,0.0833333333333333,NA,0.393665159
"M3_1",0,0,0,0,0,0,5.71428577534694,2.85714279053061,8.57142856587755,NA,0.666666674222222,0.205882353
"M3_2",0.0777777777777778,0.261111111111111,0.338888888888889,15.7303370786517,52.8089887640449,68.5393258426966,2.29007625712954,4.58015269212167,6.87022894925121,0.229508196721311,0.333333324703704,0.493562231
"M3_3",0.0333333333333333,0.166666666666667,0.2,5.60747663551402,28.0373831775701,33.6448598130841,0,5.60747668005939,5.60747668005939,0.166666666666667,0,0.455882354
"M3_5",0,0.444444444444444,0.444444444444444,0,97.5609756097561,97.5609756097561,0,4.46428567482462,4.46428567482462,0,0,0.505050505
"M3_7",0.0111111111111111,0.00555555555555556,0.0166666666666667,7.14285714285714,3.57142857142857,10.7142857142857,0.819672165439398,7.37704910862671,8.19672127406611,0.666666666666667,0.10000000464,0.46551724
"M3_8",0,0.277777777777778,0.277777777777778,0,71.4285714285714,71.4285714285714,0,0,0,0,NA,0.036363636
"M4_2",0.0388888888888889,0.105555555555556,0.144444444444445,5.88235294117647,15.9663865546218,21.8487394957983,0,1.724138,1.724138,0.269230769230769,0,0.025862069
