id,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass,PedonDepth,Depth200,H1.DryRed,H1.DryValue,H1.DryCClass,H1.MoistRed,H1.MoistValue,H1.MoistCClass,H1.Texture,H1.SandPercent,H1.SandSize,H1.ClayPercent,H1.pH,H1.EfferScale,H1.Depth,H1.DryHue,H1.MoistHue,H1.DryChroma,H1.MoistChroma,H1.Effervescence,Tot.DryRed,Tot.DryHue,Tot.DryValue,Tot.DryCClass,Tot.DryChroma,Tot.MoistRed,Tot.MoistHue,Tot.MoistValue,Tot.MoistCClass,Tot.MoistChroma,Tot.Texture,Tot.SandSize,Tot.Effervescence,Tot.EfferScale,Sub.DryRed,Sub.DryHue,Sub.DryValue,Sub.DryCClass,Sub.DryChroma,Sub.MoistRed,Sub.MoistHue,Sub.MoistValue,Sub.MoistCClass,Sub.MoistChroma,Sub.Texture,Sub.SandSize,Sub.Effervescence,Sub.EfferScale,AWC.0.25,AWC.0.50,AWC.0.100,AWC.0.150,AWC.0.200,AWC.25.50,AWC.50.100,AWC.100.150,AWC.150.200,DWAClay,DWASand,DWApH,SubDWAClay,SubDWASand,SubDWApH,SubAWC
37,1881.411621,303,7,LV,0,2,17,0,2,7,2,2,4,2,LS,85,F,4,8,4,7,7.5YR,7.5YR,4,4,VE,2,7.5YR,8,1,2,2,7.5YR,5,2,4,LS,F,VE,4,2,7.5YR,8,1,2,2,7.5YR,5,2,4,LS,F,VE,4,2.27994333,2.27994333,2.27994333,2.27994333,2.27994333,.,.,.,.,4,85,8.235294118,4,85,8.4,2.27994333
38,1867,36,8,LV,1,2,94,0,3,5,2,3,4,2,SL,72,VF,11,8,0,7,5YR,5YR,4,3,NE,3,5YR,6,3,6,3,5YR,4,3,6,SL,VF,SL,2,3,5YR,6,3,6,3,5YR,4,3,6,SL,VF,SL,2,8.283551019,8.11130265,7.982313697,7.982313697,7.982313697,7.939054282,7.835735342,.,.,8.319148936,74.96808511,8.194680851,8.103448276,75.20689655,8.210344828,7.886801025
39,1897.032959,174,6,LV,0,5,19,0,3,6,3,3,4,3,LS,80,VF,6,8.1,4,8,5YR,5YR,6,6,VE,3,5YR,5,3,6,3,5YR,4,3,6,LS,VF,VE,4,3,5YR,5,3,6,3,5YR,4,3,6,LS,VF,VE,4,4.701035693,4.701035693,4.701035693,4.701035693,4.701035693,.,.,.,.,8.315789474,82.89473684,8.1,10,85,8.1,4.226379012
4,1886.939209,239,6,LV,1,3,48,0,3,6,3,3,4,3,LS,85,VF,6,8.3,4,11,5YR,5YR,6,6,VE,3,5YR,6,3,6,3,5YR,4,3,6,LS,VF,VE,4,3,5YR,6,3,6,3,5YR,4,3,6,LS,F,VE,4,3.19218407,3.328747253,3.328747253,3.328747253,3.328747253,3.477185496,.,.,.,7.541666667,85,8.377083333,8,85,8.4,3.477185496
40,1876,328,.,LL,3,1,122,0,2,6,2,3,3,2,SL,72,VF,12,7.8,0,7,7.5YR,5YR,4,3,NE,2,7.5YR,7,2,4,3,5YR,4,2,4,SL,VF,VE,4,2,7.5YR,7,2,4,3,5YR,4,2,4,SL,VF,VE,4,9.84100787,9.202009871,8.515366546,8.156145249,8.156145249,8.563011873,7.828723221,6.523321172,.,10.7704918,74.93442623,8.168032787,10.69565217,75.11304348,8.190434783,8.087646022
41,1890.063477,272,4,LL,1,1,151,0,2,7,2,2,4,3,LS,85,VF,5,8,3,8,7.5YR,7.5YR,4,6,ST,2,7.5YR,7,2,4,2,7.5YR,4,3,6,SL,VF,VE,4,2,7.5YR,7,2,4,2,7.5YR,4,3,6,SL,VF,VE,4,4.84187208,5.902234605,7.093461923,7.490537696,7.495796977,6.96259713,8.284689241,8.284689241,8.284689241,9.324503311,76.55629139,8.341059603,9.566433566,76.08391608,8.36013986,7.772890347
42,1878,233,5,CL,2,1,58,0,3,6,2,3,3,2,SL,77,VF,9,8,1,6,5YR,5YR,4,3,VS,3,5YR,7,2,4,3,5YR,3,2,4,SL,VF,VE,4,2,7.5YR,7,2,4,2,7.5YR,5,2,4,LS,F,VE,4,9.172794106,6.828218678,6.276665065,6.276665065,6.276665065,4.483643251,2.829454983,.,.,9.327586207,77.70689655,8.225862069,9.365384615,77.78846154,8.251923077,6.143133404
43,1882,0,4,CL,3,1,154,0,3,5,2,3,3,2,SL,70,VF,12,8,0,5,5YR,5YR,4,3,NE,3,5YR,6,3,6,3,5YR,5,2,4,SL,VF,VE,4,3,5YR,6,3,6,3,5YR,5,2,4,SL,VF,VE,4,11.16509098,11.14694244,10.78651706,9.886297847,9.831728944,11.1287939,10.42609168,8.08585942,7.785395072,14.74025974,66.82467532,8.333116883,14.83221477,66.71812081,8.344295302,9.838051392
44,1886.458496,328,3,LL,1,1,126,0,3,7,2,3,5,3,LS,80,VF,5,8,1,7,5YR,5YR,4,6,VS,3,5YR,6,3,6,3,5YR,4,3,6,LS,VF,VE,4,3,5YR,6,3,6,3,5YR,4,3,6,LS,VF,VE,4,4.18663714,3.80342538,3.472108137,3.25343437,3.25343437,3.420213619,3.140790895,2.412381417,.,6.80952381,84.72222222,8.361111111,6.915966387,85,8.382352941,3.146008914
45,1893.427979,348,1,CC,0,1,104,0,2,6,2,2,4,2,LS,85,VF,4,8,4,14,7.5YR,7.5YR,4,4,VE,2,7.5YR,6,2,4,2,7.5YR,4,3,6,S,F,VE,4,2,7.5YR,6,2,4,2,7.5YR,4,3,6,S,F,VE,4,1.588475634,0.996385446,0.671097026,0.67253275,0.67253275,0.404295257,0.345808607,0.708425839,.,3.576923077,91.44230769,8.195192308,3.511111111,92.44444444,8.225555556,0.422491104
