id,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass,DepthClass,PedonDepth,Depth200,H1.DryRed,H1.DryValue,H1.DryCClass,H1.MoistRed,H1.MoistValue,H1.MoistCClass,H1.Texture,H1.SandPercent,H1.SandSize,H1.ClayPercent,H1.pH,H1.EfferScale,H1.Depth,H1.DWA_AWC,Tot.DryRed,Tot.DryValue,Tot.DryCClass,Tot.MoistRed,Tot.MoistValue,Tot.MoistCClass,Tot.Texture,Tot.SandSize,Tot.EfferScale,DWAClay,DWASand,DWApH,DWA.AWHC,Sand.50,Clay.50,pH.50,DryValue.50,EfferScale.50,AWHC.50,MaxClay,MaxSand,MaxpH,MaxDryValue,MaxAWHC,MaxEffervescence
IL1_9,1863.874665,190,18,VV,1,5,Deep,8,0,2,5,2,2,4,2,SL,65,MIX,10,7.8,3,8,0.56385969,2,5,2,2,4,2,SL,MIX,3,10,65,7.8,10.43140426,65,10,7.8,5,3,10.43140426,.,.,.,.,.,.
IL2_1,1862.045842,280,7,LV,0,5,VeryShallow,9,0,2,6,2,2,4,2,SL,70,F,5,7.8,3,9,9.155303766,2,6,2,2,4,2,SL,F,3,5,70,7.8,9.155303766,70,5,7.8,6,3,9.155303766,.,.,.,.,.,.
IL2_10,1873.018776,10,5,CL,0,1,ModeratelyDeep,74,0,2,6,2,2,4,2,SL,70,F,7,6.6,0,5,0.829056809,2,6,2,2,5,2,SL,F,3,6.864864865,74.18918919,8.07027027,8.005545398,75,7,8.2,6,3,7.768319141,7,75,8.4,8,9.285436264,3
IL2_2,1879.11485,260,3,LV,1,1,ModeratelyDeep,58,0,2,6,2,2,3,2,SL,60,VF,5,7.6,2,5,0.789667859,2,6,3,2,4,3,SL,F,3,6.120689655,51.98275862,8.193103448,14.12455081,55,10,8.4,7,4,12.46052744,10,55,8.4,7,14.97004172,4
IL2_3,1887.649354,90,4,LV,0,0,ModeratelyDeep,200,1,2,6,2,2,4,2,SL,55,F,7,6.4,0,4,0.884883178,3,7,2,3,5,2,SL,F,3,6.29,51.1,8.058,14.37173352,50,5,8.2,7,3,14.97004172,10,60,8.6,8,14.97004172,4
IL2_4,1876.67642,290,3,CL,1,1,VeryDeep,43,0,2,5,2,2,3,2,SL,65,F,7,7.6,2,8,0.417705803,2,5,2,2,4,2,SL,F,3,7,53.95348837,7.995348837,13.7233382,60,7,8.2,5,3,11.54200385,7,60,8.2,5,16.67161622,3
IL2_5,1869.970739,70,3,VV,0,0,Shallow,200,1,2,6,2,2,4,2,SL,70,F,5,7.6,0,6,1.277484246,3,6,2,3,4,2,LS,F,3,19.195,60.5,8.154,9.399306721,50,30,8.2,6,3,11.78548214,38,80,8.2,8,12.62060452,3
IL2_7,1875.457206,130,4,LL,1,1,VeryDeep,59,0,2,5,2,2,4,2,SL,70,F,7,7.6,1,7,0.324990269,2,5,3,2,4,2,SL,F,4,7.508474576,70,8.013559322,9.320669855,70,7,8,6,4,9.285436264,10,70,8.6,7,9.493314452,4
IL2_8,1891.306998,180,3,CC,1,1,ModeratelyDeep,46,0,3,6,2,3,4,2,SL,60,F,5,7,0,6,1.188517048,3,6,3,3,4,2,SL,VF,3,5,55.65217391,7.6,12.9201747,55,5,8.2,8,4,13.10513826,5,55,8.2,8,13.10513826,4
IL2_9,1868.751524,210,10,VV,1,2,Shallow,56,0,2,5,2,2,3,2,SL,75,F,5,7.8,2,8,1.292232004,2,6,2,3,4,3,SL,F,3,5,62.14285714,8.142857143,11.07897713,60,5,8.2,6,3,11.68708431,5,60,8.2,6,11.68708431,3
IL3_1,1887.649354,70,2,LL,1,1,Shallow,34,0,2,5,2,2,3,2,SiL,40,F,5,7.6,2,6,3.435831925,3,6,2,3,4,2,SiL,F,3,6.647058824,40,7.923529412,19.03846918,40,7,8.1,6,3,18.94605953,7,40,8.1,6,18.94605953,3
IL3_10,1885.515728,290,5,LV,1,4,Deep,154,0,2,6,2,2,4,2,SL,55,F,5,7,2,7,0.865433659,2,7,2,2,5,2,SL,F,3,5.025974026,67.37012987,8.159090909,9.84387819,70,5,8.1,7,2,9.155303766,7,75,8.6,8,10.46442617,4
IL3_2,1884.90612,200,6,LV,0,2,VeryDeep,181,0,1,5,2,1,3,2,LS,75,F,5,7.6,0,5,0.241244611,2,5,3,2,4,2,LS,F,4,5,79.86187845,8.239779006,5.144602663,80,5,8.2,5,4,5.079667113,5,80,8.4,6,5.079667113,4
IL3_3,1875.762009,300,5,LV,1,3,VeryDeep,200,1,2,6,2,2,4,2,SL,65,VF,5,7.4,0,6,0.346887055,2,7,3,2,5,3,SL,VF,3,5.94,68.15,8.262,9.555684813,75,7,8.2,7,3,7.768319141,7,75,8.4,7,11.68708431,3
IL3_4,1905.937576,14,3,VV,1,3,VeryDeep,146,0,2,5,2,2,3,2,SL,35,F,12,6.6,0,4,0.390082872,2,6,2,2,4,2,SL,F,4,14.47945205,58.93835616,7.58630137,11.86414654,70,12,7.6,6,4,9.643319988,18,75,8.2,6,15.39771965,4
