id,Elevation,maxClay,maxSand,minClay,minSand,maxDepth,maxpH,minpH,maxDryValue,minDryValue,maxDryChroma,minDryChroma,maxMoistValue,minMoistValue,maxMoistChroma,minMoistChroma,CarbonateStage,BioticCrustClass
M1_10,6164,10,75,4,60,200,8.1,7.3,7,6,4,4,5,4,4,3,1,0
M1_2,6217,5,70,4,70,187,8.2,8,7,5,4,4,5,4,4,3,1,1
M1_4,6195,7,80,3,75,171,8.4,7.6,7,5,4,3,5,4,6,2,1,1
M1_5,6115,25,65,4,30,131,8.2,6.6,7,6,6,4,5,4,6,4,0,0
M1_6,6216,7,75,4,70,181,8.4,7.6,8,7,6,4,6,4,4,4,1,1
M1_7,6217,10,70,3,60,200,8,7.5,6,5,4,3,4,4,4,2,1,1
M1_8,6152,10,75,4,70,171,8,8,7,5,4,4,4,3,4,3,1,0
M2_1,6144,15,70,3,65,112,8.6,6.6,8,6,6,3,6,4,6,4,1,1
M2_10,6180,5,80,4,70,200,8.2,7.6,8,6,4,4,8,6,4,4,0,1
M2_3,6116,10,80,4,80,63,8.6,7.4,7,5,4,4,5,4,6,3,0,1
M2_5,6210,7,75,3,60,176,8.4,7.6,7,6,4,3,5,3,4,4,1,1
M2_6,6101,18,80,3,45,186,7.6,7.4,7,5,4,3,5,4,4,3,1,0
M2_7,6146,7,80,4,60,200,8.1,8,7,5,4,4,7,5,4,4,0,1
M2_8,6187,7,80,3,60,200,8.2,7.6,7,6,4,3,5,4,4,2,0,0
M2_9,6217,7,80,4,70,180,8.4,7.4,7,6,6,4,5,3,4,3,1,1
M3_1,6153,5,75,4,55,186,8.6,7.6,7,6,4,4,6,4,6,3,0,2
M3_2,6174,7,80,1,60,91,8.6,7,8,5,6,1,6,4,4,4,1,1
M3_3,6141,5,75,4,65,170,8.4,7.6,7,6,6,4,5,4,4,4,0,2
M3_5,6151,12,75,4,50,183,8.8,7.6,7,5,6,4,5,3,6,4,1,1
M3_7,6204,5,85,4,70,189,8.4,8,6,6,4,4,6,6,4,4,1,1
M3_8,6128,15,70,3,55,186,8.8,7.4,8,6,6,3,7,4,6,3,1,1
M4_2,6123,5,70,4,50,200,8.4,7.4,8,6,4,4,6,3,4,4,0,3
M4_3,6128,23,70,2,40,188,8.6,7.8,8,6,6,2,8,4,6,4,1,1
M4_4,6167,5,80,3,60,176,8.2,7.8,8,6,6,3,6,4,6,4,0,1
M4_5,6165,10,80,4,75,190,8.4,7.6,7,6,6,4,6,4,6,3,1,1
M4_6,6098,20,70,4,60,159,8.4,6.8,7,5,6,4,5,4,6,3,1,2
M4_7,6145,15,75,2,50,73,8.6,8,8,5,4,2,7,3,6,4,1,2
M4_9,6176,25,55,4,45,67,8.4,7.6,7,5,4,4,5,3,6,4,0,0
