PedonID,HzNum,Method,Top,Bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,RF_knd,RF_perc,RF_sz,Texture,Psand,SandSize,Pclay,pH,Effer
CLHS39P,1,Soil pit,0,8,A,5YR,6,6,5YR,4,6,SST,5,GR,LS,80,VF ,6,8.1,VE
CLHS39P,2,Soil pit,8,19,Bw,5YR,5,6,5YR,4,6,SST,20,GR,LS,85,VF ,10,8.1,VE
CLHS39P,3,NA,19,19,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS40P,1,Soil pit,0,7,A,7.5YR,6,4,5YR,3,3,NA,0,NA,VFSL,72,VF,12,7.8,NE
CLHS40P,2,Soil pit/Auger,7,23,BA,5YR,5,6,5YR,4,3,NA,0,NA,VFSL,67,VF,15,8,ST
CLHS40P,3,Auger,23,82,Bk,7.5YR,7,4,5YR,4,4,GR,5,F,VFSL,74,VF,10,8.1,VE
CLHS40P,4,Auger,82,122,Bkk,7.5YR,7,3,7.5YR,5,4,GR,30,M,FSL,80,F,10,8.4,VE
CLHS40P,5,NA,122,122,Cr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS41P,1,Soil pit,0,8,A,7.5YR,7,4,7.5YR,4,6,SST,1,GR,LS,85,VF,5,8,ST
CLHS41P,2,Soil pit,8,39,Bw1,7.5YR,7,4,7.5YR,5,6,SST,1,GR,LS,80,VF,8,8.2,VE
CLHS41P,3,Soil pit/auger,39,112,Bw2,7.5YR,7,4,7.5YR,4,6,SST,5,GR,SL,75,VF,10,8.3,VE
CLHS41P,4,auger,112,151,Bk,7.5YR,7,4,7.5YR,5,6,CAN,1,GR,SL,75,VF,10,8.6,VE
CLHS42P,1,Soil pit,0,6,A,5YR,6,4,5YR,3,3,Gr,11,F.M,VFSL,77,VF,9,8,VS
CLHS42P,2,Soil pit/Auger,6,31,ABk,5YR,5,4,5YR,3,4,Co.GR,30,NA,VFSL,70,VF,13,8.2,VE
CLHS42P,3,Soil pit/Auger,31,58,Cr,7.5YR,7,4,7.5YR,5,4,Gr.Co,70,"F,m,c",LFS,85,F,6,8.3,VE
CLHS43P,1,Soil pit,0,5,A,5YR,5,4,5YR,3,3,NA,0,NA,VFSL,70,VF,12,8,NE
CLHS43P,2,Soil pit/Auger,5,29,Bt,5YR,4,6,5YR,3,4,NA,0,NA,VFSL,56,VF,19,8.1,NE
CLHS43P,3,Auger,29,59,Bk,5YR,6,6,5YR,4,4,NA,0,NA,VFSL,60,VF,19,8.2,ST
CLHS43P,4,Auger,59,106,Bkk,5YR,8,2,5YR,5,4,NA,0,NA,VFSL,67,VF,16,8.3,VE
CLHS43P,5,Auger,106,154,BkC,5YR,6,4,5YR,5,6,NA,0,NA,FSL,76,F,9,8.6,VE
CLHS44P,1,Soil pit,0,7,A,5YR,7,4,5YR,5,6,CAN,1,GR,LS,80,VF,5,8,VS
CLHS44P,2,Soil pit,7,35,Bw,5YR,5,6,5YR,4,6,CAN,1,GR,LS,85,VF,9,8,VS
CLHS44P,3,Soil pit/auger,35,104,Bk,5YR,6,6,5YR,4,6,CAN,1,GR,LS,85,VF,7,8.5,VE
CLHS44P,4,auger,104,126,C,5YR,8,3,5YR,5,6,SST,10,GR,LS,85,F,4,8.5,VE
CLHS45P,1,Soil pit,0,14,A,7.5YR,6,4,7.5YR,4,4,SST,1,GR,LS,85,VF ,4,8,VE
CLHS45P,2,Soil pit,14,37,Bw1,7.5YR,6,4,7.5YR,4,6,SST,1,GR,S,90,VF ,4,8.2,VE
CLHS45P,3,Soil pit/auger,37,81,Bw2,7.5YR,6,4,7.5YR,4,6,SST,5,GR,S,95,F,3,8.2,VE
CLHS45P,4,auger,81,104,Bw3,7.5YR,6,4,7.5YR,4,6,SST,20,GR,S,90,F,4,8.3,VE
CLHS46P,1,Soil pit,0,5,A,7.5YR,6,4,7.5YR,4,3,CAN,5,GR,SL,75,VF,6,8,VE
CLHS46P,2,Soil pit,5,37,Bk1,7.5YR,6,4,7.5YR,4,4,CAN,6,Gr.Co,FLS,85,F,5,8.2,VE
CLHS46P,3,Soil pit,37,50,Bk2,7.5YR,7,4,7.5YR,4,4,CAN,2,GR,FLS,85,F,4,8.2,VE
CLHS46P,4,Soil pit,50,66,C1,7.5YR,8,4,7.5YR,6,6,NA,10,GR,LS,90,M,4,8.2,VE
CLHS46P,5,Soil pit,66,82,C2,7.5YR,8,4,7.5YR,5,6,NA,85,GR.CO,S,97,CO,3,8.2,VE
CLHS46P,6,Soil pit,82,99,C3,7.5YR,8,4,7.5YR,6,4,NA,85,GR.CO,S,97,M,3,8.2,VE
CLHS47P,1,Soil pit,0,6,A,10YR,6,6,10YR,3,4,NA,0,NA,VFSL,75,VF,7,8.1,ST
CLHS47P,2,Soil pit,6,36,Bw1,10YR,6,6,10YR,5,6,NA,0,NA,VFSL,75,VF,8,8.3,VE
