,ACHY,AMID,AMSIN,ARPU9,ARTR2,ARTR2/D,ATCA2,ATCA2/D,BOGR2,BOGR2/D,BRTE,CHVI8,CHVI8/D,CLLU2,CRFL5,ECCOC,ECCOC/D,ELEL,EPVI,ERCI6,GRFA,GUSA,GUSA/D,HECO26,HECO26/D,JUOS,JUOS/D,KRLA2,KRLA2/DP,LAOC3,LEMO2,MAFR3,OPPO,OPPO/D,PEPU7,PIED,PIED/D,PLPA2,SALS0,SALS0/D,SPCO,SPCR,SPCR/D,UNKSPR,HIJA,UNKF10,AMUT,CEIN7,CEMO2
M3_5,0,0,0,0,0,0.078947368,0.00877193,0.00877193,0.574561404,0.013157895,0.004385965,0,0,0,0,0,0.004385965,0,0,0,0,0,0,0.074561404,0,0,0,0,0,0,0,0,0.004385965,0.004385965,0,0,0,0.004385965,0,0,0,0.23245614,0,0,0,0,0,0,0
M3_7,0,0,0.067164179,0,0.014925373,0.007462687,0,0,0.164179104,0.044776119,0.089552239,0,0,0.014925373,0,0,0,0,0,0,0.007462687,0,0,0,0,0,0,0.014925373,0.007462687,0.104477612,0,0,0.007462687,0.007462687,0,0,0,0.037313433,0,0.029850746,0.007462687,0.28358209,0.126865672,0,0,0,0,0,0
M3_8,0.033018868,0,0,0,0,0.122641509,0.04245283,0,0.400943396,0.018867925,0.009433962,0,0,0,0,0,0,0,0,0,0,0.009433962,0.009433962,0.231132075,0.004716981,0,0,0,0,0,0,0,0.023584906,0,0,0,0,0.009433962,0,0,0,0.099056604,0.004716981,0,0,0,0,0,0
M4_2,0.0657277,0,0,0,0.023474178,0,0.03286385,0.004694836,0.333333333,0.004694836,0,0.098591549,0.014084507,0,0,0,0,0,0.004694836,0,0,0.018779343,0,0.192488263,0,0,0,0.014084507,0.004694836,0.004694836,0,0,0,0,0,0,0,0,0,0,0,0.192488263,0,0,0,0,0,0,0
M4_3,0.032786885,0,0,0,0,0.053278689,0.004098361,0,0.545081967,0.024590164,0,0.016393443,0.004098361,0,0,0.004098361,0,0,0.004098361,0,0,0.016393443,0,0.245901639,0.004098361,0,0,0,0,0,0,0,0.008196721,0,0,0,0,0,0,0,0,0.057377049,0.004098361,0,0,0,0,0,0
M4_4,0,0.016574586,0,0,0,0.005524862,0,0,0.651933702,0.016574586,0,0,0,0.011049724,0,0,0,0,0,0,0,0,0,0.08839779,0.005524862,0,0,0.016574586,0,0,0,0,0.066298343,0.005524862,0,0,0,0.011049724,0,0,0,0.116022099,0.005524862,0,0,0,0,0,0
M4_5,0,0,0.077844311,0,0,0,0,0,0.251497006,0.041916168,0,0,0,0.017964072,0,0,0,0,0,0,0,0,0.005988024,0.005988024,0,0,0,0,0,0.143712575,0,0,0.05988024,0,0,0,0,0.005988024,0,0,0,0.317365269,0.101796407,0,0,0,0,0,0
M4_6,0.035502959,0,0,0,0.01183432,0.112426036,0.035502959,0,0.420118343,0.029585799,0,0.041420118,0,0,0,0,0,0.00591716,0,0,0,0.023668639,0,0.124260355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189349112,0,0,0,0,0,0,0
M4_7,0.046511628,0,0,0.005813953,0,0.052325581,0.011627907,0,0.372093023,0.011627907,0,0.284883721,0.005813953,0,0,0,0,0,0,0,0,0.005813953,0.005813953,0.162790698,0,0,0,0,0,0,0.005813953,0,0.005813953,0,0.005813953,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0
M4_9,0,0,0,0.005780347,0.202312139,0.023121387,0.052023121,0,0.50867052,0.01734104,0,0,0,0,0,0,0,0.011560694,0,0,0,0.040462428,0,0.005780347,0,0,0,0,0,0,0,0,0.098265896,0,0,0,0,0,0,0,0,0.052023121,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0.025641026,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0.012820513,0,0,0,0,0,0,0,0,0.243589744,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0
2,0.039106145,0,0,0,0.005586592,0.011173184,0,0,0.05027933,0,0,0.011173184,0,0,0,0,0,0,0,0,0,0,0,0.094972067,0,0.122905028,0,0,0,0,0.011173184,0,0,0,0,0.094972067,0.011173184,0,0,0,0.011173184,0.039106145,0.005586592,0,0,0,0,0,0
10,0.007092199,0,0,0,0,0.014184397,0,0,0.014184397,0,0,0,0,0,0,0,0,0,0,0,0,0.021276596,0,0.04964539,0.007092199,0.134751773,0.035460993,0,0,0,0,0,0,0,0,0.226950355,0,0,0,0,0,0.007092199,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0.059405941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024752475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410891089,0.014851485,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228346457,0,0,0,0,0.007874016,0,0,0,0,0.220472441,0,0,0,0,0,0,0,0,0,0,0,0.007874016,0
14,0.009009009,0,0,0,0,0,0,0,0,0,0,0.018018018,0,0,0,0,0,0,0,0,0,0.018018018,0.009009009,0,0,0.144144144,0.009009009,0,0,0,0.009009009,0,0,0,0.027027027,0.234234234,0.009009009,0,0,0,0,0,0,0,0,0,0,0.009009009,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0.209302326,0.011627907,0,0,0,0.023255814,0,0,0,0.034883721,0.174418605,0.011627907,0,0,0,0,0,0,0,0,0,0,0,0
16,0.004975124,0,0,0,0,0,0.009950249,0.004975124,0.104477612,0.004975124,0,0,0,0,0.004975124,0,0,0,0,0,0,0.019900498,0,0.253731343,0,0.009950249,0,0,0,0,0,0,0.004975124,0,0,0.064676617,0,0,0,0,0.014925373,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952381,0,0,0,0.228571429,0,0,0,0,0,0,0,0,0,0.238095238,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009615385,0,0,0,0,0,0,0.019230769,0.009615385,0.009615385,0,0.067307692,0,0,0,0,0,0,0,0,0.038461538,0.326923077,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.005405405,0,0,0,0.118918919,0.016216216,0.010810811,0,0.221621622,0.027027027,0,0,0,0,0,0,0,0,0.010810811,0,0,0,0,0.113513514,0.005405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005405405,0,0.005405405,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0.106145251,0.005586592,0,0.022346369,0.005586592,0,0,0,0,0.011173184,0,0,0,0,0,0.212290503,0,0,0,0.005586592,0,0,0,0,0,0,0,0.156424581,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.017964072,0,0,0,0,0.011976048,0.023952096,0,0.125748503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335329341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005988024,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0.041666667,0,0.277777778,0.020833333,0.020833333,0,0,0,0,0,0,0,0,0,0,0.006944444,0.020833333,0.076388889,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0.020833333,0,0,0,0,0,0,0
24,0,0,0,0,0.042857143,0.021428571,0.007142857,0,0.114285714,0,0,0.007142857,0,0,0,0,0,0,0.007142857,0,0,0,0,0.257142857,0.014285714,0.007142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0
32,0,0,0,0,0,0.004545455,0.018181818,0,0.336363636,0.031818182,0.004545455,0,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0.013636364,0.004545455,0,0,0,0.031818182,0,0,0,0,0,0,0,0,0.072727273,0,0,0,0,0,0,0
33,0.022222222,0,0,0,0.007407407,0,0,0,0,0,0,0,0,0,0.007407407,0,0,0,0,0,0,0,0,0,0,0.125925926,0,0,0,0,0.007407407,0,0,0,0.02962963,0.125925926,0.140740741,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0.019607843,0,0.024509804,0,0.259803922,0,0,0.068627451,0,0,0,0,0,0,0,0,0,0,0.009803922,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0
39,0,0,0,0.015748031,0,0,0,0,0.070866142,0.007874016,0,0,0,0,0,0.007874016,0,0,0,0,0,0,0.031496063,0,0,0.118110236,0,0,0,0,0,0,0.015748031,0,0,0.228346457,0.05511811,0,0,0,0,0,0,0,0,0,0,0,0
40,0.004854369,0,0,0,0.009708738,0.014563107,0.033980583,0,0.174757282,0.014563107,0.004854369,0,0,0,0,0,0,0,0,0,0,0.014563107,0,0.169902913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087378641,0,0,0,0,0,0,0
42,0,0,0,0,0.018691589,0.028037383,0.018691589,0.004672897,0.219626168,0,0,0.014018692,0,0,0,0,0,0,0.004672897,0,0,0,0,0.177570093,0.009345794,0.014018692,0,0,0,0,0,0,0.009345794,0,0,0,0,0,0,0,0,0,0,0.004672897,0,0,0,0,0
43,0,0,0,0,0.061452514,0,0,0,0.195530726,0.005586592,0,0,0,0,0,0,0,0,0,0.005586592,0.044692737,0,0.005586592,0.156424581,0,0,0,0,0,0,0,0,0.022346369,0,0,0,0,0,0,0,0,0.033519553,0,0.011173184,0,0,0,0,0
44,0,0,0,0,0.004366812,0.043668122,0,0,0.07860262,0.008733624,0,0.113537118,0.004366812,0,0,0,0,0,0,0,0,0,0,0.113537118,0,0.061135371,0,0,0,0,0,0,0,0,0,0.048034934,0.004366812,0,0,0,0,0.056768559,0,0,0,0,0,0,0
47,0.014285714,0,0,0,0.004761905,0.028571429,0.00952381,0,0.247619048,0.019047619,0,0.023809524,0,0,0,0,0.004761905,0,0.004761905,0,0,0,0.019047619,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0.09047619,0,0,0,0,0,0.019047619,0,0,0,0,0,0,0
48,0.014492754,0,0,0,0.057971014,0.009661836,0.009661836,0.014492754,0.144927536,0,0,0.038647343,0,0,0,0,0.004830918,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120772947,0,0,0,0,0,0,0
50,0.026455026,0,0,0,0.052910053,0.037037037,0.058201058,0.005291005,0,0,0.005291005,0.005291005,0,0,0,0,0,0,0,0,0,0,0,0.005291005,0,0.063492063,0,0,0,0,0,0,0,0,0,0.17989418,0,0,0,0,0,0.100529101,0,0,0,0,0,0,0
51,0.04494382,0,0,0,0.011235955,0.02247191,0,0,0.011235955,0,0,0.02247191,0,0,0,0,0,0,0,0,0,0.04494382,0,0,0,0.146067416,0,0,0,0,0,0,0,0,0,0.191011236,0.02247191,0,0,0,0,0.011235955,0,0,0,0,0,0,0
52,0.005347594,0,0,0,0,0.080213904,0.037433155,0.010695187,0.069518717,0,0,0.005347594,0,0,0,0,0,0,0,0,0,0,0,0.294117647,0,0.010695187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005347594,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0.005813953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087209302,0.005813953,0,0,0,0.023255814,0.01744186,0,0,0,0.273255814,0.005813953,0.046511628,0,0,0,0,0,0,0,0,0.023255814,0,0
55,0.013333333,0,0,0,0,0.02,0,0,0.126666667,0,0.006666667,0.053333333,0,0,0,0,0,0.006666667,0,0,0,0,0.013333333,0.006666667,0,0.06,0,0,0,0,0.013333333,0,0.033333333,0,0,0.093333333,0.08,0,0,0,0,0,0,0,0,0,0,0,0
56,0.037735849,0,0,0,0,0.018867925,0,0,0.188679245,0,0,0,0,0,0,0,0,0,0,0,0,0.056603774,0,0.018867925,0,0.141509434,0,0,0,0,0.028301887,0,0,0.009433962,0.009433962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.009950249,0,0,0,0.019900498,0.069651741,0,0.014925373,0.059701493,0.009950249,0,0,0,0,0,0.004975124,0,0,0,0,0,0.004975124,0,0.298507463,0,0,0,0.004975124,0,0,0,0,0,0,0,0,0,0,0.004975124,0,0,0,0,0,0,0,0,0,0
58,0.017142857,0,0,0,0,0.062857143,0,0,0.114285714,0.005714286,0,0.011428571,0,0,0,0,0,0,0,0,0,0,0.005714286,0.314285714,0.005714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.006289308,0,0,0,0,0.037735849,0.006289308,0.012578616,0.125786164,0.006289308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037735849,0,0,0,0.106918239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182389937,0,0,0,0,0,0,0
60,0.005434783,0,0,0,0.010869565,0.070652174,0.02173913,0,0.048913043,0.005434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016304348,0,0,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0.005434783,0,0,0.25,0.02173913,0,0,0,0,0,0
61,0.026737968,0,0,0,0,0,0.010695187,0,0.13368984,0.010695187,0,0.032085561,0,0,0,0,0,0,0,0,0,0.005347594,0,0.005347594,0,0.197860963,0,0,0,0,0.005347594,0,0,0,0,0.090909091,0.021390374,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0.008,0,0,0,0.152,0,0,0,0,0,0.024,0,0,0.04,0.144,0.072,0,0,0,0,0,0,0,0,0,0,0,0.072
64,0,0,0.004651163,0,0,0,0.018604651,0.013953488,0.018604651,0.004651163,0.037209302,0,0,0,0,0,0,0,0,0,0,0,0,0.051162791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376744186,0.004651163,0,0,0,0,0,0
65,0.037878788,0,0,0,0.007575758,0.015151515,0,0,0.083333333,0.007575758,0,0.007575758,0,0,0,0,0,0,0,0,0,0.015151515,0.007575758,0.007575758,0,0.113636364,0,0,0,0,0,0,0.007575758,0.007575758,0,0.204545455,0,0,0,0,0,0.007575758,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074766355,0,0,0,0,0,0,0,0,0,0.336448598,0.093457944,0,0,0,0,0,0,0,0,0,0,0,0
67,0.017241379,0,0,0,0,0,0.068965517,0.00862069,0.198275862,0,0.025862069,0,0,0,0,0,0,0,0,0,0,0,0,0.090517241,0,0.021551724,0,0,0,0,0,0,0,0,0,0,0.025862069,0,0,0,0,0.086206897,0,0,0,0,0,0,0
68,0,0,0,0,0.005747126,0.017241379,0.034482759,0.022988506,0.189655172,0.011494253,0.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0.005747126,0,0,0,0.040229885,0.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0.189655172,0,0,0,0,0,0,0
69,0.03902439,0,0,0.024390244,0,0,0,0,0,0,0,0.004878049,0,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0.102439024,0,0,0,0,0,0,0,0,0.014634146,0.2,0.087804878,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0.018867925,0.006289308,0.012578616,0.125786164,0.006289308,0,0,0,0,0,0,0,0,0,0,0,0.031446541,0.006289308,0.257861635,0,0,0,0.018867925,0,0,0.006289308,0,0,0,0,0,0,0,0.006289308,0,0,0.025157233,0,0,0,0,0,0,0
73,0,0,0,0,0,0.024489796,0.012244898,0.008163265,0.228571429,0.004081633,0.016326531,0,0,0,0,0,0,0,0,0,0,0,0.004081633,0.195918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0.004081633,0,0,0,0,0
76,0,0,0,0,0.010309278,0.051546392,0,0,0.154639175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154639175,0,0.113402062,0,0,0,0,0,0,0.010309278,0,0,0.041237113,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0.040723982,0,0,0,0,0,0.013574661,0,0.158371041,0,0.009049774,0,0,0,0,0,0,0.004524887,0,0,0,0.004524887,0.009049774,0.176470588,0.004524887,0.022624434,0,0,0,0,0,0,0,0,0,0.076923077,0.009049774,0,0,0,0,0.009049774,0,0,0,0,0,0,0
79,0.014705882,0,0,0,0.029411765,0.014705882,0,0,0.191176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147058824,0,0,0,0,0,0,0,0,0.014705882,0.102941176,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.021459227,0,0,0,0.012875536,0.025751073,0,0,0.30472103,0.038626609,0,0,0,0,0,0,0,0,0.008583691,0,0,0,0.017167382,0.120171674,0,0.004291845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008583691,0,0,0,0,0,0,0
82,0.029411765,0,0,0,0,0.029411765,0.014705882,0,0.294117647,0.009803922,0,0.024509804,0,0,0,0,0,0.004901961,0,0,0,0,0,0.034313725,0.004901961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078431373,0,0.004901961,0,0,0,0,0
83,0.015151515,0,0,0,0,0.025252525,0.01010101,0,0.378787879,0.045454545,0,0,0.01010101,0,0,0,0,0,0.005050505,0,0,0,0,0.065656566,0,0,0,0,0,0,0.005050505,0,0.005050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0.017241379,0,0,0,0.004310345,0.038793103,0,0,0.297413793,0.017241379,0,0.00862069,0,0,0,0,0,0,0.004310345,0,0,0,0,0.090517241,0.004310345,0,0,0,0,0,0,0,0.004310345,0,0,0,0,0,0,0,0,0.038793103,0,0,0,0,0,0,0
88,0.018181818,0,0,0,0,0,0,0,0.018181818,0,0,0.009090909,0,0,0,0,0,0,0,0,0,0.018181818,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.254545455,0.045454545,0,0,0,0,0,0,0,0,0,0.054545455,0,0
89,0,0,0,0,0,0.00862069,0,0,0.025862069,0,0,0.00862069,0,0,0,0,0,0,0,0,0,0.017241379,0,0,0,0,0,0,0,0,0,0,0,0,0.017241379,0.422413793,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0.022026432,0.013215859,0.035242291,0,0.356828194,0.008810573,0.004405286,0,0,0,0,0,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0,0.008810573,0,0,0,0,0,0,0,0,0.035242291,0,0.004405286,0,0,0,0,0
91,0.010869565,0,0,0,0,0.02173913,0.02173913,0,0.157608696,0.016304348,0,0.005434783,0,0,0,0,0,0,0,0,0,0.02173913,0,0.005434783,0,0,0,0,0,0,0,0,0.005434783,0,0,0.27173913,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0.01242236,0,0,0.00621118,0,0.031055901,0.01863354,0,0.173913043,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0.055900621,0.01242236,0.086956522,0,0,0,0,0,0,0.00621118,0.01242236,0,0,0,0,0,0,0,0,0,0.111801242,0,0,0,0,0,0,0
93,0.006849315,0,0,0,0.01369863,0.006849315,0,0,0.02739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01369863,0,0.123287671,0,0,0,0,0,0.006849315,0,0,0.034246575,0.205479452,0.082191781,0,0,0,0,0.006849315,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0.193548387,0,0,0,0,0,0,0,0,0,0,0,0,0.021505376,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0.215053763,0.053763441,0,0,0,0,0,0,0,0,0,0,0,0
95,0.011904762,0,0,0,0.005952381,0,0.035714286,0,0.160714286,0.005952381,0,0.011904762,0,0,0,0,0,0,0,0,0,0,0,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.444558058,0.178651324,0.536041888,0.1901702,2.605655688,4.158444871,3.497095889,0.307208874,43.51171423,2.485195139,1.261870645,1.557704734,0.079898734,0.118838141,0.036709326,0.066231616,0.029826431,0.126585503,0.154269968,0.431910465,0.307599075,1.815555721,0.626117028,17.16009198,0.230735876,3.608482041,0.086637137,0.803763778,0.044269662,1.523015972,0.184921517,0.10901598,2.4342334,0.096723011,0.304444685,7.17390475,0.943201195,0.486131031,0.615623281,0.098620302,0.120849043,28.90308504,1.11601968,0.077083019,0.116827073,0.071315806,0.077801268,0.055344563,0.072
,72,6,15,15,69,110,97,25,140,112,53,50,9,10,5,10,6,20,19,22,21,68,50,122,29,38,6,43,7,32,18,6,83,13,14,40,20,25,16,10,9,129,48,12,2,3,2,3,1
