"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CLLU2","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LAOC3","LEMO2","OPPO","OPPO.D","PEPU7","PIED","PLPA2","SALSO","SALSO.D","SPCO","SPCR","SPCR.D","CHVI8.D","HIJA"
"B4_9",2,0,0,0,2,0.333333333333333,0,14.6666666666667,12,1.66666666666667,0,0,0,0,0,0.333333333333333,0,0,0,1,0.333333333333333,10.3333333333333,0,1,0,0,0,1.33333333333333,0.333333333333333,0,6.33333333333333,0,0,0,0,8.33333333333333,0,0,0
"IL1_1",0,0,0,11,2.33333333333333,0,0,22.3333333333333,32.6666666666667,1.66666666666667,0,0,0,0,0,0,0,0.666666666666667,0,0,0,3.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66666666666667,0,0,0.666666666666667
"IL1_10",0,0,0,0,0,1.66666666666667,0,8,40.6666666666667,3.66666666666667,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,1.33333333333333,0,0,3.33333333333333,0,0,0,0,0,0,0,16.6666666666667,0,0,0
"IL1_3",0,0,0,0,0.333333333333333,2.66666666666667,0,10,8.33333333333333,1,1.33333333333333,0,0,0,0,0,0,3,0,0,0,0.333333333333333,0,0,0,1,0,3.33333333333333,0,0,0,0,0,0,0,39.6666666666667,2.66666666666667,0,0
"IL1_4",0.333333333333333,0,0,4.33333333333333,2,0,0,19.6666666666667,22.3333333333333,0.333333333333333,0,0,8,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0,2.33333333333333,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,9.33333333333333,0,0,0
"IL1_5",2,0,0,0,2.33333333333333,1.66666666666667,0,21.6666666666667,10.3333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0,0,0,0,0.666666666666667,0,0,1,1.66666666666667,24,0.333333333333333,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.666666666666667,8,0,0,0
"IL1_8",0,0,0,0.666666666666667,1.33333333333333,0.333333333333333,0,10.6666666666667,35,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,11.6666666666667,0.666666666666667,0,0
"IL1_9",0,0,1,1,0.333333333333333,0,0,4.33333333333333,5.33333333333333,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,16.6666666666667,0,0,0,0,0,0,0,0
"IL2_1",1.33333333333333,0,0,1.33333333333333,2,1.33333333333333,0,11,13.6666666666667,1.33333333333333,0,0,1,0,0,0,0,0,0,2.33333333333333,2,17.3333333333333,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,7,0,0,0
"IL2_10",0,0,0,2,3.66666666666667,1.33333333333333,0,12.6666666666667,24,2,0,0,3.33333333333333,0,0.333333333333333,0,0,0,0,1.66666666666667,1,19,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,8.33333333333333,0,0,0
"IL2_2",0,0,0,0,0.333333333333333,1,0,21.3333333333333,24,1,1,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0.666666666666667,0.666666666666667,0,0,0,0,0,0,20.6666666666667,0.333333333333333,0,0
"IL2_3",0.333333333333333,0,0.333333333333333,0.666666666666667,3,1,0,12.6666666666667,42.6666666666667,3,0,0,0,0,0,0,0,0,0,1,0,6.33333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,15.6666666666667,0.666666666666667,0,0
"IL2_4",0,0,0.333333333333333,0,1.33333333333333,0,0,19.3333333333333,3.33333333333333,0.666666666666667,1,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,13.6666666666667,0,0,0,0,0,2,0,0,0,0,0,0,1,27.3333333333333,0,0,0
"IL2_5",0,0.333333333333333,0,0,0,0,0,13.6666666666667,8,0.666666666666667,0,0,0,0,0,0,0,1,0.333333333333333,0,0,1.33333333333333,0,0,1,0.666666666666667,0,4.66666666666667,0,0,0,1,0.333333333333333,0,0,44,0,0,0
"IL2_7",1,0,0,6.33333333333333,5,0.333333333333333,0,21,21.3333333333333,1,0.333333333333333,0,0.333333333333333,0,0,0,1,0,0,3,0,14,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"IL2_8",0,0,0.333333333333333,3,1.33333333333333,2,0,14.3333333333333,6.33333333333333,0.333333333333333,0.666666666666667,0,0,0,0.333333333333333,0,0,2.33333333333333,0,2.66666666666667,0.666666666666667,2.33333333333333,0,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,29.3333333333333,0,0,0
"IL2_9",0.666666666666667,0,0.333333333333333,0,2.66666666666667,3,0,16.3333333333333,16.6666666666667,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,1,0,9.33333333333333,0,0,0,0,0,1.66666666666667,0.666666666666667,0,2,0.333333333333333,0,0,0,17.3333333333333,0.333333333333333,0,0
"IL3_1",0,0,0,0,2,1,0,16.6666666666667,18.3333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,4.33333333333333,0.333333333333333,9.33333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,23,0,0,0
"IL3_10",1,0,0,5.33333333333333,2.66666666666667,1.33333333333333,0,19.6666666666667,23,0.666666666666667,0,0,2,0.333333333333333,0,0,0.333333333333333,0,0,0,0,3,0.333333333333333,0,0.333333333333333,0,0,4.33333333333333,0,0,0,0,0,0,1,14.3333333333333,0.666666666666667,0,0
