,ACHY,AMID,ARPU9,ARTR2,ARTR2.D,ATCA2,ATCA2.D,Bare.Soil,BOGR2,BRTE,CHLE4,ECCOC,ELEL5,EPVI,ERCI6,GRFA,GUSA2,GUSA2.D,HECO26,JUOS,KRLA2,LEMO2,OPPO,OPPO.D,PEPU7,PHAU3,PIED,PIED.D,PLPA2,SALSO,SPCR,CLLU2,LAOC3,SALSO.D,SPCO,HIJA
82,3.333333333,0,0,0,3.333333333,1.666666667,0,17.77777778,33.33333333,0,0.555555556,0,0.555555556,0,0,0,2.777777778,0,4.444444444,0,0,0,0,0,0,0,0,0,0,0,8.888888889,0,0,0,0,0
90,0,0,0,2.777777778,1.666666667,4.444444444,0,20,45,0.555555556,0.555555556,0,0,0,0,0,0,0,3.888888889,0,0,0,1.111111111,0,0,0,0,0,0,0,4.444444444,0,0,0,0,0
B1_1,0,0,0,5,4,0,0.333333333,9,5,0,0,0.333333333,0,0,0,0,0.333333333,0.333333333,0.666666667,0,1.333333333,0,0,0,0,0,0,0,0,0,60.33333333,0,0,0,0,0
B1_10,0,0,0,1,2.333333333,0,0,11.33333333,50.66666667,0,0,0,0,0,0,0,3,0,8.333333333,0,0.666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B1_2,0,0,0,0,0,6,0,11.66666667,8.333333333,0.666666667,0,0,0,0,0.666666667,0,1.333333333,0,6.666666667,0,0.666666667,0,1.333333333,0,0.333333333,0,0,0,0,0.333333333,37,0,0,0,0,0
B1_3,0.666666667,0,3,0,0,2,0,20.66666667,9,0.666666667,0,0,0,0,0,0,0,0,0.666666667,0,0.666666667,0,7.333333333,0,0,0,0,0,0,0.333333333,36.33333333,0,0,0.333333333,0,0
B1_4,0,0,0,0,0.666666667,1.666666667,0,13,9.333333333,3,0.333333333,0,0,0,0.333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,38.33333333,0,3.333333333,0,0,0
B1_5,0,0,0,0,0.666666667,4.666666667,0,18.66666667,24,0.666666667,0,0,0,0,0,0,0,0.333333333,6.333333333,0,0,0,0,0,0,0,0,0,0,0,17.33333333,0,0,0,0,0
B1_6,0,0,0,0,1,4.333333333,0,10,29.33333333,1.666666667,0.333333333,0,0.333333333,0,0,0,1.333333333,0,4,0,0,0,0.333333333,0,0,0,0,0,0,0,27.66666667,0,0,0,0,0
B1_7,1.666666667,0,0,8.666666667,4,1,0,10.33333333,23.66666667,0.333333333,0.666666667,0,0,0,0,0.666666667,1,0,3,0,0,0,1,0,0,0,0,0,0.333333333,0,23.33333333,0,2,0,0,0
B1_8,0,0.333333333,0,0,0,0.666666667,0,14.66666667,0.333333333,0.666666667,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0.333333333,0,1,0,0,0,0,0,3.666666667,0,43.33333333,0.333333333,5.333333333,0,0,0
B1_9,0,0,0,0,2.333333333,0,0,13,16.66666667,0,0,0,0,0,0,0,0.666666667,0,10.66666667,0,0,0,0.333333333,0,0,0,0,0,0,0,36.33333333,0,0,0,0,0
B2_1,0,1.333333333,0.333333333,0,0,0,0,22.33333333,24,0.333333333,0,0,0,0,0,0,0,0,2.333333333,0,3.333333333,0,5,0,0,0,0,0,0.333333333,0,20.33333333,0.333333333,2.666666667,0,0,0
B2_10,0,0,0,3,3.333333333,0,0,23.33333333,22,0,0,0,0,0,0,1.333333333,0,0,17.33333333,0,0.333333333,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
B2_2,0,0,0,0,3,2.333333333,0,14.66666667,44,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
B2_4,0,0,0,1,1,0,0,10,38,0.333333333,0,0,0,0,0,0.333333333,0,0,3.333333333,0,1.666666667,0,0,0,0,0,0,0,0,0.333333333,14,0,0,0,0,0
B2_5,1.333333333,0,0,0,2,0,0,11.66666667,36.66666667,0,0,0,0,0,0,0,0,0.333333333,6.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,19.66666667,0,0,0,0,0
B2_6,0.333333333,0,0,0,0.333333333,0.333333333,0,15.66666667,33,0,0,0,0,0,0,0.666666667,3,0,9.666666667,0,0.333333333,0,1.333333333,0,0,0,0,0,0.333333333,0,7.333333333,0,0,0,0,0
B2_7,0.333333333,0,0,0,6,0,0.666666667,15.66666667,35,0,0,0.333333333,0,0,0,0,0.666666667,0.333333333,5.666666667,0,0,0.333333333,0,0,0,0,0,0,0,0,11,0,0.666666667,0,0,0
B2_8,0,0,0,0,0,0,0,27.66666667,22.66666667,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,8,0.333333333,0,0,0,0,0,0,27,0,0,0,0,0
B2_9,0,0,0,1.666666667,2,0.333333333,0,23,37.33333333,0,0,0,0,0,0,0,0,0,6.666666667,0,1.333333333,0,0,0,0,0,0,0,0,0,10.33333333,0,0,0,0,0
B3_1,1.333333333,0,0,0.666666667,2,0,0,18,25.33333333,0,0,0,0,0.333333333,0,0,8.333333333,0.666666667,17.66666667,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0
B3_10,0,0,0,5.333333333,2.333333333,1,0,13.66666667,23,0,0,0,0.333333333,0,0,0,0.333333333,0.333333333,6.333333333,1.666666667,0.666666667,0,0,0,0,0,1.666666667,0,0,0,14,0,0,0.333333333,0,0
B3_2,0,0,0,0,0.666666667,0,0,19.66666667,23,0,0,0,0.333333333,0,0,0,1.666666667,0,12,0,1.333333333,0,0.333333333,0,0,0,0,0,0,0,14.66666667,0,0,0,0,0
B3_3,0,0,0,0,0,0.333333333,0,28.66666667,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,3,12,0,0.666666667,0.666666667,0,0
B3_4,0,0.333333333,0,0,0,1.333333333,0,11.66666667,35,0.333333333,0,0,0,0,2,0,0,0,2.666666667,0,0,0,8.666666667,0,0,0,0,0,0.333333333,0.333333333,27,0,0.666666667,0,0,0
B3_5,0,0,0,0,0,0,0,23,12.33333333,0,0,0,0,0,0.666666667,0,0.333333333,0,0.666666667,0.333333333,0.333333333,0,0,0,0,0,0,0,0,4.333333333,31.66666667,0.333333333,0,0.333333333,0,0
B3_6,0.666666667,0,0,0.333333333,7.666666667,1.333333333,0,13.66666667,32,0,0,0,0,0,0,0,0.333333333,0.333333333,17.66666667,0,0,0,0.333333333,0,0,0,0,0,0,0,10.66666667,0,0,0,0,0
B3_7,1.333333333,0,0,0.666666667,4.666666667,1.666666667,0,15.66666667,26.66666667,0,0,0,0,0.666666667,0,0,7,2.333333333,20,0,0,0,0,0,0,0,1,0,0,0,1.666666667,0,0,0,0,0
B3_8,0,0,0,0,0.666666667,0,0,18.33333333,39.66666667,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0,4,0,0.333333333,0,0,0
B3_9,0,0.333333333,0,0,0,0,0,17,47.33333333,0.333333333,0,0,0,0,0,0.333333333,0,0,3,0,0,0,4.666666667,0,0,0,0,0,1.333333333,0,9.666666667,0,0.666666667,0,0,0
B4_1,1.333333333,0,0,0.333333333,2,0.666666667,1,15.33333333,26.66666667,0,0,0,0,0,0,0,2,2,20,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,7.666666667,0,0,0,0.333333333,0
B4_10,0.666666667,0,0,0,1.666666667,2.666666667,0,29,15.33333333,0,0,0,0,0,0,0,3.666666667,1,25.66666667,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
B4_2,0.333333333,0,0.333333333,0.333333333,2.333333333,2,0,16,21.33333333,0.666666667,0,0,0,0,0,0,2.666666667,0.666666667,2,0,0,0,1.333333333,0,0.333333333,0,0,0,0,0,8.666666667,0,0,0,0,0
B4_3,0,0,0,0.333333333,5.666666667,0.333333333,0,16.66666667,39.66666667,0,0,0,0,0,0,0,1,0.666666667,6.666666667,0,0,0.333333333,0,0,0,0,2,0,0,0,3.333333333,0,0,0,0,0
B4_4,0.666666667,0,0,0,3.333333333,0,0,18.33333333,31.66666667,0,0,0,0,0,0,0,0,0.333333333,11.66666667,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,12.33333333,0,0,0,0,0
B4_6,0,0,0,3.666666667,1.666666667,0,0,13.66666667,15.33333333,0,0,0,0,0,0,0,0.333333333,0.333333333,6.333333333,0,0.666666667,0,1,0,0,0,0,0,0,0,36,0,0,0,0,0
