"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CLLU2","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LAOC3","LEMO2","OPPO","OPPO.D","PEPU7","PIED","PLPA2","SALSO","SALSO.D","SPCO","SPCR","SPCR.D","CHVI8.D","HIJA"
"IL2_4",0,0,0.00666666666666667,0,0.0266666666666667,0,0,0.386666666666667,0.0666666666666667,0.0133333333333333,0.02,0,0,0,0,0.00666666666666667,0,0.00666666666666667,0,0,0,0.273333333333333,0,0,0,0,0,0.04,0,0,0,0,0,0,0.02,0.546666666666667,0,0,0
"IL2_5",0,0.00666666666666667,0,0,0,0,0,0.273333333333333,0.16,0.0133333333333333,0,0,0,0,0,0,0,0.02,0.00666666666666667,0,0,0.0266666666666667,0,0,0.02,0.0133333333333333,0,0.0933333333333333,0,0,0,0.02,0.00666666666666667,0,0,0.88,0,0,0
"IL2_7",0.02,0,0,0.126666666666667,0.1,0.00666666666666667,0,0.42,0.426666666666667,0.02,0.00666666666666667,0,0.00666666666666667,0,0,0,0.02,0,0,0.06,0,0.28,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0
"IL2_8",0,0,0.00666666666666667,0.06,0.0266666666666667,0.04,0,0.286666666666667,0.126666666666667,0.00666666666666667,0.0133333333333333,0,0,0,0.00666666666666667,0,0,0.0466666666666667,0,0.0533333333333333,0.0133333333333333,0.0466666666666667,0,0,0,0.0133333333333333,0,0.02,0,0,0,0,0,0,0,0.586666666666667,0,0,0
"IL2_9",0.0133333333333333,0,0.00666666666666667,0,0.0533333333333333,0.06,0,0.326666666666667,0.333333333333333,0.00666666666666667,0,0,0,0,0,0,0.0133333333333333,0,0,0.02,0,0.186666666666667,0,0,0,0,0,0.0333333333333333,0.0133333333333333,0,0.04,0.00666666666666667,0,0,0,0.346666666666667,0.00666666666666667,0,0
"IL3_1",0,0,0,0,0.04,0.02,0,0.333333333333333,0.366666666666667,0.00666666666666667,0,0,0,0,0,0,0,0,0,0.0866666666666667,0.00666666666666667,0.186666666666667,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0
"IL3_10",0.02,0,0,0.106666666666667,0.0533333333333333,0.0266666666666667,0,0.393333333333333,0.46,0.0133333333333333,0,0,0.04,0.00666666666666667,0,0,0.00666666666666667,0,0,0,0,0.06,0.00666666666666667,0,0.00666666666666667,0,0,0.0866666666666667,0,0,0,0,0,0,0.02,0.286666666666667,0.0133333333333333,0,0
"IL3_2",0,0,0,0.0733333333333333,0.0333333333333333,0.0733333333333333,0.00666666666666667,0.326666666666667,0.573333333333333,0.04,0,0,0,0,0,0,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.206666666666667,0.00666666666666667,0,0
"IL3_3",0,0,0,0,0.0866666666666667,0.00666666666666667,0,0.16,0.42,0,0,0,0.00666666666666667,0,0,0,0.02,0,0,0.00666666666666667,0.02,0.74,0.0333333333333333,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.00666666666666667,0,0,0
"IL3_4",0,0,0,0.153333333333333,0.04,0.00666666666666667,0,0.386666666666667,0.493333333333333,0.04,0.00666666666666667,0,0.0466666666666667,0,0,0.00666666666666667,0,0,0.00666666666666667,0,0,0.206666666666667,0.00666666666666667,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.12,0.00666666666666667,0,0
"IL3_6",0,0,0,0.0933333333333333,0.04,0,0,0.466666666666667,0.5,0.0133333333333333,0,0,0,0,0,0,0,0.0133333333333333,0,0,0,0.0466666666666667,0,0,0.0133333333333333,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.253333333333333,0,0,0
"IL3_7",0,0.00666666666666667,0,0.0266666666666667,0.0333333333333333,0.0333333333333333,0,0.293333333333333,0.673333333333333,0,0.06,0,0.00666666666666667,0,0,0,0,0,0.00666666666666667,0.0333333333333333,0.00666666666666667,0.286666666666667,0,0,0.00666666666666667,0.00666666666666667,0,0.00666666666666667,0,0,0,0,0,0,0,0.153333333333333,0,0,0
