ident	Latitude	Longitude	y_proj	x_proj	comment	altitude
B1 8	37.95161437	-109.9336542	4200982.103	593686.0894	B1 8	
B1 9	37.94876654	-109.9151921	4200684.847	595311.8308	B1 9	
B1-10P	37.951032	-109.9207993	4200930.491	594816.2541	23-MAY-13 3:54:18PM	1886.939209
B1-1P	37.94569566	-109.920036	4200339.17	594890.1847	22-MAY-13 3:48:41PM	1895.831299
B1-2P	37.95677167	-109.9299263	4201558.092	594007.0473	24-JUN-13 1:04:13PM	1874.441895
B1-3P	37.96868655	-109.9186458	4202891.567	594982.7141	05-JUL-13 3:08:33PM	1877.085938
B1-4P	37.94908958	-109.9227854	4200712.948	594644.2493	06-JUL-13 5:04:03PM	1885.737549
B1-5P	37.94971436	-109.917225	4200787.936	595131.9892	18-JUL-13 2:14:00PM	1882.853516
B1-6P	37.95630832	-109.9259306	4201510.72	594358.6687	08-JUL-13 12:42:44PM	1879.969727
B1-7P	37.94912294	-109.9337744	4200705.542	593678.6931	08-JUL-13 4:09:58PM	1891.745605
B1-8P	37.95164002	-109.9336629	4200984.94	593685.291	25-JUN-13 2:40:22PM	1873.240479
B1-9P	37.94866327	-109.915291	4200673.288	595303.2667	18-JUL-13 3:37:44PM	1892.226318
B2 1	37.9522638	-109.9305259	4201057.311	593960.11	B2 1	
B2 10	37.9534604	-109.9463831	4201174.205	592565.4261	B2 10	
B2 2	37.95018501	-109.9139145	4200843.542	595422.246	B2 2	
B2 3	37.95177137	-109.9310621	4201002.132	593913.6284	B2 3	
B2 4	37.94840553	-109.918867	4200641.037	594989.4054	B2 4	
B2 5	37.97322485	-109.9285731	4203385.039	594104.9235	B2 5	
B2 6	37.95640513	-109.950081	4201497.271	592236.864	B2 6	
B2 7	37.95841168	-109.9269585	4201743.06	594265.6781	B2 7	
B2 8	37.97291153	-109.9233211	4203355.596	594566.626	B2 8	
B2 9	37.94785501	-109.9193926	4200579.418	594943.9381	B2 9	
B2-10P	37.95355017	-109.9460994	4201184.447	592590.2407	07-JUN-13 8:17:55AM	1880.450439
