type	ident	Latitude	Longitude	y_proj	x_proj	comment	display	symbol	dist	proximity	color	altitude	depth	temp	time	wpt_class	sub_class	attrib	link	state	country	city	address	zip	facility	crossroad	ete	dtype	model	filename	ltime	magvar	geoidheight	desc	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	dir
WAYPOINT	52-5	38.01835092	-109.9131459	4208408.434	595400.501	31-JUL-13 4:53:32PM		City (Small)				1975.379883																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 10:53			31-JUL-13 4:53:32PM								
WAYPOINT	52-6	38.01843692	-109.9132811	4208417.837	595388.5145	31-JUL-13 4:52:28PM		City (Small)				1973.937988																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 10:52			31-JUL-13 4:52:28PM								
WAYPOINT	52P	38.01849182	-109.9130848	4208424.13	595405.6747	31-JUL-13 4:37:39PM		City (Small)				1971.053711																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 10:37			31-JUL-13 4:37:39PM								
WAYPOINT	53	37.97928781	-109.8627306	4204127.003	599878.8953	53		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					53							
WAYPOINT	54	37.97884366	-109.8822077	4204057.002	598168.894	54		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					54							
WAYPOINT	54-1	38.01335095	-109.9314167	4207835.069	593803.0784	31-JUL-13 9:18:56AM		City (Small)				1921.786621																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 3:18			31-JUL-13 9:18:56AM								
WAYPOINT	54-2	38.01315757	-109.9314241	4207813.605	593802.67	31-JUL-13 9:19:43AM		City (Small)				1924.189941																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 3:19			31-JUL-13 9:19:43AM								
WAYPOINT	54-3	38.01307635	-109.9314029	4207804.615	593804.6351	31-JUL-13 9:20:47AM		City (Small)				1928.756104																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 3:20			31-JUL-13 9:20:47AM								
WAYPOINT	54-4	38.0130435	-109.931756	4207800.613	593773.6847	31-JUL-13 9:22:13AM		City (Small)				1925.631836																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 3:22			31-JUL-13 9:22:13AM								
WAYPOINT	54-5	38.01318834	-109.9317331	4207816.707	593775.5089	31-JUL-13 9:22:52AM		City (Small)				1923.468994																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 3:22			31-JUL-13 9:22:52AM								
WAYPOINT	54-6	38.01328439	-109.9317621	4207827.336	593772.8407	31-JUL-13 9:24:30AM		City (Small)				1921.546387																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 3:24			31-JUL-13 9:24:30AM								
WAYPOINT	55	37.97832951	-109.9435861	4203937.007	592778.8949	55		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					55							
WAYPOINT	55-1	38.01301885	-109.933866	4207795.754	593588.4834	31-JUL-13 11:22:10AM		City (Small)				1908.328369																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 5:22			31-JUL-13 11:22:10AM								
