ident,Latitude,Longitude,y_proj,x_proj,altitude,ident,Latitude,Longitude,y_proj,x_proj,altitude,,,POINT_X,POINT_Y,,,,,,,
M4-4P,37.95296805,-109.9308422,4201135.774,593930.4544,1879.729492,M4_4,37.95296805,-109.9308422,4201135.774,593930.4544,1879.73,,,594265.6725,4201743.061,,,,,,,
M4-5P,37.94902956,-109.9301663,4200699.457,593994.8572,1879.008301,M4_5,37.94902956,-109.9301663,4200699.457,593994.8572,1879.01,,,594566.6238,4203355.605,,,,,,,
M4-6P,37.95990927,-109.9274854,4201909.335,594216.511,1858.820801,M4_6,37.95990927,-109.9274854,4201909.335,594216.511,1858.82,,,594943.9312,4200579.425,,,,,,,
M4-7P,37.95788974,-109.9243976,4201688.383,594490.352,1873,M4_7,37.95788974,-109.9243977,4201688.383,594490.352,1873,,,592565.4224,4201174.213,,,,,,,
M4-9P,37.97703995,-109.9386222,4203798.881,593216.4924,1882.613281,M4_9,37.97703995,-109.9386222,4203798.881,593216.4924,1882.61,,,594247.7012,4203346.209,,,,,,,
,,,,,,,,,,,,,,594664.2279,4201178.273,,,,,,,
,,,,,,,,,,,,,,595195.3191,4200910.631,,,,,,,
,,,,,,,,,,,,,,594058.6167,4201552.409,,,,,,,
,,,,,,,,,,,,,,595204.4504,4200718.485,,,,,,,
,,,,,,,,,,,,,,594008.3528,4203355.506,,,,,,,
,,,,,,,,,,,,,,593988.5048,4203252.73,,,,,,,
,,,,,,,,,,,,,,594696.2889,4200900.984,,,,,,,
,,,,,,,,,,,,,,593916.2826,4200987.495,,,,,,,
,,,,,,,,,,,,,,595221.1686,4200440.132,,,,,,,
,,,,,,,,,,,,,,594110.6499,4203656.331,,,,,,,
,,,,,,,,,,,,,,593867.4877,4201531.347,,,,,,,
,,,,,,,,,,,,,,594025.9992,4203101.815,,,,,,,
,,,,,,,,,,,,,,594640.2228,4203456.608,,,,,,,
,,,,,,,,,,,,,,594855.3654,4200916.896,,,,,,,
,,,,,,,,,,,,,,594274.2149,4203593.403,,,,,,,
,,,,,,,,,,,,,,595283.0905,4200947.827,,,,,,,
,,,,,,,,,,,,,,594492.6303,4203165.703,,,,,,,
,,,,,,,,,,,,,,594956.1094,4203296.477,,,,,,,
,,,,,,,,,,,,,,594860.3011,4203275.134,,,,,,,
