"","DWAClay","DWASand","DWApH","H1.DWA_AWC","H1.ClayPercent","H1.SandPercent","H1.Texture","H1.SandSize","H1.pH","H1.EfferScale","H1.MoistRed","H1.MoistCClass","H1.MoistValue","Tot.MoistRed","Tot.MoistCClass","Tot.MoistValue","MaxEffervescence","Elevation","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","DepthClass","SlopeShape"
"M1_4",5.33918128654971,79.1520467836257,8.24678362573099,0.108655981026738,5,80,"LS","F",7.6,0,2,1,4,2,3,5,3,1888.258961,1,1,187,0,"VeryDeep","LV"
"M1_5",18.2213740458015,44.7328244274809,7.99236641221374,0.40498259122807,7,60,"SL","F",6.6,0,2,2,4,3,2,4,3,1863.874665,0,0,171,0,"VeryDeep","CC"
"M1_6",6.90055248618784,74.7513812154696,8.27403314917127,0.628990335068702,5,70,"SL","VF",7.6,2,2,2,4,2,2,6,4,1894.659839,1,1,131,0,"Deep","CC"
"M1_7",7.375,65.25,7.79,0.404654310099447,5,70,"SL","F",7.5,3,2,1,4,2,2,4,3,1894.964643,1,1,181,0,"VeryDeep","LV"
"M1_8",6.7719298245614,72.3976608187134,8,0.271891169935,7,75,"SL","F",8,3,2,2,3,2,2,4,3,1875.152402,1,0,200,1,"VeryDeep","CL"
"M2_1",12.5446428571429,67.6339285714286,8.12857142857143,0.353061645571429,15,70,"SL","F",6.6,0,2,2,4,2,3,5,4,1872.713972,1,1,112,0,"Deep","CV"
"M2_10",3.56,74.025,8.0855,0.2476778007,5,75,"SL","F",7.6,2,2,2,6,2,2,7,3,1883.686906,0,1,180,0,"VeryDeep","LL"
"M2_3",9.19047619047619,80,7.98730158730159,0.140876572475,7,80,"LS","F",7.4,0,2,2,4,2,2,4,3,1864.179468,0,1,200,1,"VeryDeep","LL"
"M2_5",5.84090909090909,69.4886363636364,8.23409090909091,0.581289128,5,70,"SL","F",7.6,1,2,2,3,2,2,4,3,1892.831017,1,1,63,0,"ModeratelyDeep","LV"
"M2_6",10.5698924731183,63.3064516129032,7.54516129032258,0.364131399784091,5,70,"SL","F",7.4,3,2,2,4,3,2,4,3,1859.607413,1,0,176,0,"VeryDeep","LL"
"M2_7",5.48,78,8.035,0.502670292903226,5,60,"SL","F",8.1,3,2,2,5,2,2,7,3,1873.32358,0,1,186,0,"VeryDeep","LV"
"M2_8",4.98,68.475,8.155,0.22291002063,5,75,"SL","F",7.6,2,2,1,4,2,2,4,3,1885.820532,0,0,200,1,"VeryDeep","LV"
"M2_9",6.94444444444444,76.5555555555556,8.23444444444445,0.126991677825,5,80,"LS","F",7.4,0,2,2,3,2,2,5,3,1894.964643,1,1,200,1,"VeryDeep","VV"
"M3_1",4.06451612903226,70.241935483871,8.25860215053763,0.563661860645161,5,55,"SL","F",7.6,2,2,2,4,3,2,5,3,1875.457206,0,2,186,0,"VeryDeep","LL"
"M3_2",6.31868131868132,71.5934065934066,8.21978021978022,0.634176035714286,7,60,"SL","F",7,0,2,2,4,3,2,4,3,1881.858083,1,1,91,0,"ModeratelyDeep","CC"
"M3_3",5,72.2352941176471,8.27294117647059,0.430888136411765,5,65,"SL","F",7.6,2,2,2,4,2,2,5,4,1871.799561,0,2,170,0,"VeryDeep","VV"
"M3_5",3.58469945355191,69.3989071038251,8.39672131147541,0.468388574863388,12,55,"SL","F",7.6,1,2,2,4,2,2,5,3,1874.847598,1,1,183,0,"VeryDeep","VV"
"M3_7",5,75.3174603174603,8.22433862433862,0.0807223174603175,5,85,"LS","F",8,1,2,2,6,2,2,6,3,1891.002195,1,1,189,0,"VeryDeep","LV"
"M3_8",11.1666666666667,60.6182795698925,8.4247311827957,0.413896970322581,7,55,"SL","F",7.4,1,2,2,4,3,2,5,3,1867.837113,1,1,186,0,"VeryDeep","LV"
"M4_2",3.77,64.35,8.209,0.47371537,3,60,"SL","F",7.4,1,2,2,4,2,2,5,4,1866.313094,0,3,200,1,"VeryDeep","VV"
"M4_3",11.8351063829787,60.6914893617021,8.44414893617021,0.292190545723404,5,70,"SL","F",7.8,2,2,2,4,3,3,5,4,1867.837113,1,1,188,0,"VeryDeep","LV"
