"id","Elevation","Aspect","Slope","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","H1.DryRed","H1.DryValue","H1.DryCClass","H1.MoistRed","H1.MoistValue","H1.MoistCClass","H1.SandPercent","H1.ClayPercent","H1.pH","H1.EfferScale","H1.Depth","H1.DWA_AWC","Tot.DryRed","Tot.DryValue","Tot.DryCClass","Tot.MoistRed","Tot.MoistValue","Tot.MoistCClass","Tot.EfferScale","DWAClay","DWASand","DWApH","DWA.AWHC","Sand.50","Clay.50","pH.50","DryValue.50","EfferScale.50","AWHC.50","MaxClay","MaxSand","MaxpH","MaxDryValue","MaxAWHC","MaxEffervescence","SlopeShape","DepthClass","H1.Texture","H1.SandSize","Tot.Texture","Tot.SandSize"
"IL3_7",1884.90612,230,5,1,1,74,0,"2",5,"2","2",4,"2",70,7,7.4,"0",4,0.50191547372973,"3","5","3","2","4","2","3",7,62.962962962963,7.98148148148148,10.8733912319259,60,7,8.1,5,"3",11.54200385,7,70,8.1,5,11.54200385,"3","CC","ModeratelyDeep","SL","F","SL","F"
"IL3_9",1877.895635,150,2,1,1,27,0,"2",6,"2","2",4,"2",80,7,7.8,"1",6,1.25223619977778,"2","6","3","2","5","3","3",6.60377358490566,71.5566037735849,8.21698113207547,8.71129110085849,70,7,8.2,6,"3",9.285436264,7,75,8.4,8,9.285436264,"4","CL","Shallow","LS","F","SL","F"
"IL4_10",1895.879054,90,10,1,5,32,0,"2",6,"2","2",4,"2",60,3,7.4,"2",7,2.5906309296875,"2","8","3","2","5","2","3",3,69.55,8.168,8.941012396325,65,3,8,7,"3",10.49185197,3,75,8.4,8,10.49185197,"4","VV","Shallow","SL","VF","SL","VF"
"IL4_2",1867.837113,240,5,0,2,200,1,"2",7,"2","2",5,"2",70,5,7.8,"2",7,0.32043563181,"2","8","2","2","6","2","3",5,71.4,8.316,8.33695802093,70,5,8.2,7,"3",9.155303766,5,80,8.4,8,10.46442617,"3","VV","VeryDeep","SL","F","SL","F"
"IL4_3",1882.772495,60,8,1,1,200,1,"2",5,"2","2",3,"2",40,3,7.8,"2",6,0.5970825189,"3","6","2","3","4","2","3",12.12,36.2,8.028,18.8467814512,35,15,8.1,6,"3",18.5133175,15,35,8.1,6,18.5133175,"3","LV","VeryDeep","SiL","F","L","F"
"IL4_4",1893.745428,200,5,1,6,25,0,"3",7,"3","3",5,"2",65,7,7.6,"2",7,2.9239406224,"3","6","3","3","5","2","3",7,67.6666666666667,7.70666666666667,9.8254670448,70,7,7.8,6,"3",9.285436264,7,70,7.8,6,9.285436264,"3","CL","Shallow","SL","MIX","SL","MIX"
"IL4_5",1870.88515,80,8,1,1,15,0,"2",6,"2","2",4,"2",75,7,7.8,"2",6,3.1073276564,"2","5","3","2","4","2","3",5.52173913043478,78.695652173913,8.02173913043478,5.78105459856522,80,5,8.1,5,"3",5.079667113,5,80,8.1,5,5.079667113,"3","VV","VeryShallow","SL","F","LS","F"
"IL4_7",1869.056328,180,1,0,1,23,0,"2",5,"2","2",3,"2",60,3,7.4,"2",6,3.08944806521739,"3","6","2","3","4","2","3",7.355,63.125,8.176,10.82794286005,60,7,8.2,6,"3",11.54200385,10,70,8.2,7,11.54200385,"3","VV","VeryShallow","SL","F","SL","F"
"IL4_8",1885.515728,260,11,0,6,200,1,"2",7,"2","2",5,"2",70,5,8.1,"2",10,0.4577651883,"2","7","2","2","5","2","2",5,70,8.1,9.155303766,70,5,8.1,7,"2",9.155303766,NA,NA,NA,NA,NA,NA,"VV","VeryDeep","SL","F","SL","F"
"IL4_9",1888.258961,300,8,0,0,10,0,"2",6,"2","2",4,"2",65,5,7.6,"2",9,9.417983553,"2","6","2","2","4","2","3",3.5625,65,7.74375,10.48413846375,65,3,7.8,6,"3",10.49185197,3,65,7.8,6,10.49185197,"3","CC","VeryShallow","SL","F","SL","F"
"M1_1",1890.697391,191,3,0,0,182,0,"2",6,"2","2",4,"2",80,7,7.8,"1",8,0.247695072483516,"2","7","2","2","5","2","3",7.85714285714286,70.7142857142857,8.31428571428571,8.93557960051648,75,7,8.2,6,"2",7.768319141,10,75,8.6,7,10.43140426,"3","CC","VeryDeep","LS","F","SL","F"
