"id","top","bottom","Horizon","DryRed","DryValue","DryCClass","MoistRed","MoistValue","MoistCClass","Texture","SandPercent","SandSize","ClayPercent","pH","EfferScale","Theta_fc","Theta_pwp","AWHC","HzNum",".id","Depth","DryHue","MoistHue","DryChroma","MoistChroma","Effervescence"
"B2_6",148,175,"Ab","2",5,"2","2",4,"2","SCL",60,"VF",23,8.2,"4",0.217802771,0.107679611,11.01231603,NA,5,27,"7.5YR","7.5YR","4",4,"VE"
"B2_6",175,200,"Bb","2",6,"2","2",6,"3","L",50,"F",18,8.6,"4",0.217291651,0.090263224,12.70284261,NA,6,25,"7.5YR","7.5YR","4",6,"VE"
"B2_7",0,7,"A","2",6,"2","2",4,"2","SL",60,"F",5,7.8,"2",0.178911483,0.06204064,11.68708431,NA,1,7,"7.5YR","7.5YR","4",4,"SL"
"B2_7",7,37,"B","3",6,"3","2",4,"3","SL",60,"F",5,8.1,"3",0.178911483,0.06204064,11.68708431,NA,2,30,"5YR","7.5YR","6",6,"ST"
"B2_7",37,106,"B2","2",7,"2","2",5,"3","SL",60,"F",7,8.3,"3",0.181338524,0.065918486,11.54200385,NA,3,69,"7.5YR","7.5YR","4",6,"ST"
"B2_7",106,106,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA
"B2_8",0,7,"A","3",6,"2","3",4,"2","SL",75,"VF",11,8.1,"3",0.147561255,0.062948088,8.461316681,NA,1,7,"5YR","5YR","4",3,"ST"
"B2_8",7,15,"BA","3",6,"3","3",4,"2","SL",75,"VF",12,8.2,"4",0.152260151,0.065876753,8.638339797,NA,2,8,"5YR","5YR","6",4,"VE"
"B2_8",15,58,"Bw","3",6,"2","3",4,"3","SL",75,"VF",10,8.2,"4",0.142929541,0.060082649,8.284689241,NA,3,43,"5YR","5YR","4",6,"VE"
"B2_8",58,131,"C","2",6,"2","2",4,"2","SL",70,"VF",12,8.3,"4",0.167856754,0.071423555,9.643319988,NA,4,73,"7.5YR","7.5YR","4",4,"VE"
"B2_8",131,156,"Ab","3",5,"2","3",3,"2","L",50,"VF",18,8.1,"4",0.217291651,0.090263224,12.70284261,NA,5,25,"5YR","5YR","4",4,"VE"
"B2_9",0,5,"A","3",5,"3","3",4,"2","SL",60,"F",7,7.5,"0",0.181338524,0.065918486,11.54200385,NA,1,5,"5YR","5YR","6",4,"NE"
"B2_9",5,17,"B","2",5,"2","2",4,"2","SL",60,"F",7,7.6,"2",0.181338524,0.065918486,11.54200385,NA,2,12,"7.5YR","7.5YR","4",4,"SL"
"B2_9",17,27,"Cr","2",6,"2","2",4,"2","SL",70,"F",7,7.8,"3",0.151075306,0.058220943,9.285436264,NA,3,10,"7.5YR","7.5YR","4",4,"ST"
"B2_9",27,27,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA
"B2_10",0,5,"A","2",5,"2","2",3,"2","SL",50,"VF",5,6.4,"0",0.210873721,0.061173304,14.97004172,NA,1,5,"7.5YR","7.5YR","4",4,"NE"
"B2_10",5,20,"B","2",4,"3","2",3,"2","L",45,"VF",8,6.4,"0",0.229515315,0.065341083,16.41742319,NA,2,15,"7.5YR","7.5YR","6",4,"NE"
"B2_10",20,175,"B2","2",6,"2","2",4,"2","L",50,"VF",8,8.2,"3",0.21045412,0.066891196,14.3562924,NA,3,155,"7.5YR","7.5YR","4",4,"ST"
"B2_10",175,200,"CB","2",7,"2","2",5,"2","LS",75,"MIX",3,8.6,"4",0.112720965,0.041797128,7.092383724,NA,4,25,"7.5YR","7.5YR","4",4,"VE"
"B3_1",0,6,"A","3",6,"3","3",4,"2","SL",60,"F",5,7.6,"2",0.178911483,0.06204064,11.68708431,NA,1,6,"5YR","5YR","6",4,"SL"
"B3_1",6,13,"B","3",6,"3","3",4,"3","SL",65,"F",7,7.6,"2",0.167764684,0.063338233,10.44264508,NA,2,7,"5YR","5YR","6",6,"SL"
"B3_1",13,52,"Bk","3",7,"2","3",6,"2","L",45,"F",10,8.2,"4",0.2284656,0.069436328,15.90292714,NA,3,39,"5YR","5YR","3",4,"VE"
"B3_1",52,81,"B'","3",7,"2","3",5,"3","SL",74,"MIX",5,8.4,"4",0.126202266,0.047963908,7.823835798,NA,4,29,"5YR","5YR","4",6,"VE"
"B3_1",81,81,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA
"B3_2",0,4,"A","2",5,"2","2",3,"2","SL",55,"F",5,7.6,"2",0.193537487,0.062486104,13.10513826,NA,1,4,"7.5YR","7.5YR","4",4,"SL"
"B3_2",4,10,"B","2",5,"2","2",3,"2","SL",45,"F",5,7.8,"3",0.231211177,0.059618644,17.1592533,NA,2,6,"7.5YR","7.5YR","4",4,"ST"
"B3_2",10,40,"B2","3",6,"2","3",4,"2","SL",50,"F",5,8.1,"3",0.210873721,0.061173304,14.97004172,NA,3,30,"5YR","5YR","4",4,"ST"
