id,top,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,SandPercent,SandSize,ClayPercent,pH,Effervescence,Theta_fc,Theta_pwp,AWHC,HzNum,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass
B3_3,5,13,B,7.5YR,6,4,7.5YR,4,4,SL,65,VF,10,8,ST,0.17465399,0.070339948,10.43140426,,NA,NA,NA,NA,NA,NA
B3_3,13,60,B2,7.5YR,7,4,7.5YR,5,4,SL,55,F,7,8,ST,0.194530427,0.066222367,12.83080608,,NA,NA,NA,NA,NA,NA
B3_3,60,135,B3,7.5YR,7,4,7.5YR,6,4,SL,50,F,5,8.2,ST,0.210873721,0.061173304,14.97004172,,NA,NA,NA,NA,NA,NA
B3_3,135,165,Bt,7.5YR,6,4,7.5YR,5,4,SiL,20,VF,20,8.2,ST,0.297566721,0.092273262,20.52934586,,NA,NA,NA,NA,NA,NA
B3_3,165,200,Ab,5YR,6,6,5YR,4,6,SL,65,F,5,7.5,NE,0.16366872,0.059024459,10.46442617,,NA,NA,NA,NA,NA,NA
B3_4,0,7,A,7.5YR,6,4,7.5YR,4,4,SL,70,F,3,7.6,NE,0.138974053,0.048732005,9.024204783,,1873.628383,100,5,LC,0,0
B3_4,7,21,B,5YR,6,6,5YR,5,6,SL,65,F,3,7.8,SL,0.159904349,0.054985829,10.49185197,,NA,NA,NA,NA,NA,NA
B3_4,21,127,B2,5YR,7,6,5YR,5,6,SL,70,F,3,8.2,ST,0.138974053,0.048732005,9.024204783,,NA,NA,NA,NA,NA,NA
B3_4,127,148,Cr,5YR,8,3,5YR,6,4,LS,75,F,3,8.6,ST,0.112720965,0.041797128,7.092383724,,NA,NA,NA,NA,NA,NA
B3_4,148,148,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B3_5,0,5,A,7.5YR,6,6,7.5YR,4,6,L,45,VF,15,7.8,ST,0.227481428,0.080616611,14.6864817,,1893.745428,35,1,LC,1,0
B3_5,5,14,Ap,7.5YR,5,4,7.5YR,4,4,L,50,VF,15,7.6,ST,0.213599127,0.082595004,13.10041224,,NA,NA,NA,NA,NA,NA
B3_5,14,49,B,7.5YR,4,4,7.5YR,3,4,SL,60,VF,18,7.8,SL,0.203324723,0.092677511,11.06472124,,NA,NA,NA,NA,NA,NA
B3_5,49,64,2B,7.5YR,5,4,7.5YR,4,4,L,35,VF,19,8,ST,0.260148634,0.087764826,17.23838077,,NA,NA,NA,NA,NA,NA
B3_5,64,148,2B2,7.5YR,5,4,7.5YR,4,4,L,35,VF,18,8,ST,0.260916133,0.085448608,17.54675254,,NA,NA,NA,NA,NA,NA
B3_5,148,178,3B,7.5YR,6,6,7.5YR,4,6,SL,70,VF,7,8.2,ST,0.151075306,0.058220943,9.285436264,,NA,NA,NA,NA,NA,NA
B3_6,0,5,A,7.5YR,6,4,7.5YR,4,3,SL,70,F,5,7.6,VS,0.144918306,0.053365269,9.155303766,,1867.837113,270,6,VV,1,1
B3_6,5,18,B,7.5YR,6,4,7.5YR,4,4,SL,65,F,5,8.2,ST,0.16366872,0.059024459,10.46442617,,NA,NA,NA,NA,NA,NA
B3_6,18,80,Bt,5YR,7,6,5YR,5,6,SL,55,F,18,8.2,ST,0.209401718,0.091892628,11.75090901,,NA,NA,NA,NA,NA,NA
B3_6,80,105,B',5YR,7,6,5YR,5,6,SL,60,F,7,8.6,SL,0.181338524,0.065918486,11.54200385,,NA,NA,NA,NA,NA,NA
B3_6,105,169,B'2,5YR,8,4,5YR,5,6,SL,60,F,7,8.8,ST,0.181338524,0.065918486,11.54200385,,NA,NA,NA,NA,NA,NA
B3_6,169,169,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B3_7,0,6,A,7.5YR,6,6,7.5YR,4,3,SL,65,F,3,7.6,NE,0.159904349,0.054985829,10.49185197,,1874.847598,260,5,CC,0,2
B3_7,6,32,B,5YR,6,6,5YR,5,6,SL,70,F,7,8,ST,0.151075306,0.058220943,9.285436264,,NA,NA,NA,NA,NA,NA
B3_7,32,68,B2,5YR,8,4,5YR,6,4,SL,70,F,5,8.2,ST,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
B3_7,68,108,B3,5YR,6,6,5YR,4,6,SL,75,F,5,8.4,ST,0.121022648,0.046719307,7.430334021,,NA,NA,NA,NA,NA,NA
B3_7,108,135,B4,5YR,7,4,5YR,5,6,LS,80,F,3,8.4,ST,0.083890239,0.038355544,4.553469578,,NA,NA,NA,NA,NA,NA
B3_7,135,135,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B3_8,0,5,A,7.5YR,5,6,7.5YR,3,4,SL,70,VF,5,7.3,NE,0.144918306,0.053365269,9.155303766,,1878.200439,246,1,LV,0,2
B3_8,5,50,A2,7.5YR,5,6,7.5YR,3,4,SL,75,VF,10,8.2,SL,0.142929541,0.060082649,8.284689241,,NA,NA,NA,NA,NA,NA
B3_8,50,67,AC,7.5YR,6,4,7.5YR,5,4,SL,75,VF,10,8.2,ST,0.142929541,0.060082649,8.284689241,,NA,NA,NA,NA,NA,NA
B3_8,67,95,Cr,7.5YR,7,4,7.5YR,5,6,SL,60,VF,10,8.4,VE,0.18588602,0.072333525,11.35524954,,NA,NA,NA,NA,NA,NA
B3_9,0,7,A,7.5YR,5,4,7.5YR,4,3,SL,70,F,5,7.6,VS,0.144918306,0.053365269,9.155303766,,1874.847598,35,5,LC,0,4
B3_9,7,34,B,7.5YR,6,6,5YR,5,4,LS,80,F,5,8.4,ST,0.093772599,0.042975928,5.079667113,,NA,NA,NA,NA,NA,NA
B3_9,34,130,C,7.5YR,7,4,5YR,5,4,LS,80,F,5,8.4,ST,0.093772599,0.042975928,5.079667113,,NA,NA,NA,NA,NA,NA
B3_9,130,200,Ab,7.5YR,6,6,7.5YR,5,4,LS,80,F,7,8.4,ST,0.104209268,0.047858639,5.635062899,,NA,NA,NA,NA,NA,NA
B3_10,0,8,A,7.5YR,5,4,7.5YR,4,4,SL,45,F,5,7.8,SL,0.231211177,0.059618644,17.1592533,,1895.57425,250,5,CV,1,2
B3_10,8,20,B,7.5YR,5,4,7.5YR,4,4,SL,70,F,15,8,ST,0.178985018,0.080127757,9.885726076,,NA,NA,NA,NA,NA,NA
B3_10,20,42,Cr,7.5YR,7,3,7.5YR,5,3,LS,80,F,3,8,ST,0.083890239,0.038355544,4.553469578,,NA,NA,NA,NA,NA,NA
B4_1,0,11,A,7.5YR,6,4,7.5YR,4,4,SL,70,F,5,7.8,ST,0.144918306,0.053365269,9.155303766,,1888.258961,190,4,LC,0,5
B4_1,11,11,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B4_2,0,7,A,7.5YR,6,4,7.5YR,4,4,SL,60,F,5,7.6,SL,0.178911483,0.06204064,11.68708431,,1881.248476,110,11,VV,0,2
B4_2,7,7,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B4_3,0,5,A,7.5YR,5,4,7.5YR,3,4,SL,60,F,3,7.6,SL,0.176876498,0.058447655,11.84288425,,1877.590832,210,6,VV,0,1
B4_3,5,62,B,7.5YR,6,4,7.5YR,4,6,SL,70,F,3,7.8,ST,0.138974053,0.048732005,9.024204783,,NA,NA,NA,NA,NA,NA
B4_3,62,69,Cr,7.5YR,7,3,7.5YR,6,4,LS,80,MIX,3,8,ST,0.083890239,0.038355544,4.553469578,,NA,NA,NA,NA,NA,NA
B4_4,0,5,A,7.5YR,5,4,7.5YR,3,4,SL,60,F,5,7.8,ST,0.178911483,0.06204064,11.68708431,,1890.697391,220,5,LC,0,0
B4_4,5,14,B,7.5YR,5,4,7.5YR,4,4,SL,60,F,7,8.2,ST,0.181338524,0.065918486,11.54200385,,NA,NA,NA,NA,NA,NA
B4_4,14,72,B2,7.5YR,6,4,7.5YR,5,4,SL,60,F,5,8.2,VE,0.178911483,0.06204064,11.68708431,,NA,NA,NA,NA,NA,NA
B4_4,72,83,B3,7.5YR,6,4,7.5YR,4,6,SL,75,F,5,8.4,VE,0.121022648,0.046719307,7.430334021,,NA,NA,NA,NA,NA,NA
B4_4,83,128,B4,7.5YR,7,4,7.5YR,5,4,SL,70,F,5,8.6,VE,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
B4_4,128,153,B5,7.5YR,6,3,7.5YR,4,4,SL,65,F,3,8.4,ST,0.159904349,0.054985829,10.49185197,,NA,NA,NA,NA,NA,NA
B4_4,153,153,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B4_6,0,6,A,7.5YR,5,4,7.5YR,3,4,SL,65,F,5,7.6,SL,0.16366872,0.059024459,10.46442617,,1880.638869,160,6,VV,0,2
B4_6,6,47,B,7.5YR,6,4,7.5YR,4,4,SL,70,F,5,7.8,ST,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
