id,bottom,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,SandPercent,SandSize,ClayPercent,pH,Effervescence,Theta_fc,Theta_pwp,AWHC,HzNum
CLHS22P,53,80,Bk,7.5YR,7,4,5YR,5,6,VFSL,78,VF,11,8.4,VE,0.135452237,0.059842567,7.560966981,4
CLHS22P,80,130,Bkk,7.5YR,7,3,5YR,4,4,VFSL,75,VF,13,8.6,VE,0.157055206,0.068879566,8.817563978,5
CLHS22P,130,154,NA,7.5YR,7,4,7.5YR,5,4,VFSL,65,VF,15,8.6,VE,0.188206748,0.083371782,10.48349657,6
CLHS23P,0,3,A,5YR,5,4,5YR,4,3,VFSL,75,VF,12,7.6,NE,0.152260151,0.065876753,8.638339797,1
CLHS23P,3,12,BA,5YR,6,6,5YR,4,4,VFLS,85,VF,8,8,VS,0.086693704,0.051921849,3.477185496,2
CLHS23P,12,54,BW1,5YR,5,4,5YR,4,4,VFSL,60,VF,10,8.1,SL,0.18588602,0.072333525,11.35524954,3
CLHS23P,54,63,BW2,7.5YR,5,6,5YR,4,6,FSL,70,F,14,8.2,ST,0.175179349,0.077149732,9.802961663,4
CLHS23P,63,81,BK,5YR,6,4,5YR,4,4,VFSL,60,VF,15,8.4,VE,0.195908228,0.08454388,11.13643481,5
CLHS23P,81,81,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
CLHS24P,0,5,A,7.5YR,6,4,5YR,4,3,VFSL,72,VF,12,8,SL,0.162125525,0.069310628,9.281489696,1
CLHS24P,5,19,ABw,5YR,5,4,5YR,3,4,VFSL,75,VF,11,8.1,SL,0.147561255,0.062948088,8.461316681,2
CLHS24P,19,36,Bk,5YR,5,4,5YR,3,4,VFSL,72,VF,12,8.1,VE,0.162125525,0.069310628,9.281489696,3
CLHS24P,36,48,Bkk,5YR,7,3,5YR,4,4,VFSL,70,VF,15,8.2,VE,0.178985018,0.080127757,9.885726076,4
CLHS25P,0,6,A,5YR,5,3,5YR,3,3,FSL,76,F,9,8,NE,0.134006102,0.056152151,7.785395072,1
CLHS25P,6,35,Bw,5YR,6,6,5YR,6,4,FSL,75,F,8,8.1,ST,0.133943934,0.054553391,7.939054282,2
CLHS25P,35,88,Bk1,5YR,7,4,5YR,4,6,FSL,74,F,10,8.2,VE,0.14689953,0.061269411,8.563011873,3
CLHS25P,88,149,Bk2,5YR,7,6,7.5YR,4,6,LMS,82,M,7,8.4,VE,0.094162502,0.04780669,4.635581155,4
