Plot Name,type,ident,lat,long,y_proj (Northing),x_proj (Easting),comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
cLHS050_16,WAYPOINT,CLHS50-16-1-30,37.99659192,-109.8687086,4206039.983,599331.5009,11-JUL-13 7:22:04PM,0,8284,0,0,0,31,2003,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_16,WAYPOINT,CLHS50-16-3-0,37.9967407,-109.8690696,4206056.106,599299.6025,11-JUL-13 7:05:57PM,0,8284,0,0,0,31,2005,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_16,WAYPOINT,CLHS50-16-3-30,37.99674246,-109.8687228,4206056.671,599330.0546,11-JUL-13 7:21:08PM,0,8284,0,0,0,31,2006,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_16,WAYPOINT,CLHS50-16-5-0,37.99684656,-109.8690855,4206067.835,599298.0681,11-JUL-13 7:13:48PM,0,8284,0,0,0,31,2006,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_16,WAYPOINT,CLHS50-16-5-30,37.99682242,-109.8687057,4206065.562,599331.4482,11-JUL-13 7:16:15PM,0,8284,0,0,0,31,2005,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_16,WAYPOINT,CLHS50-16-CENTER,37.99671832,-109.8689201,4206053.782,599312.7622,11-JUL-13 7:14:52PM,0,8284,0,0,0,31,2005,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_17,WAYPOINT,CLHS17-1-0,37.99693725,-109.8996571,4206045.716,596613.6009,11-JUL-13 4:56:29PM,0,8284,0,0,0,31,2001,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_17,WAYPOINT,CLHS17-1-30,37.9968163,-109.8999949,4206031.945,596584.0999,11-JUL-13 4:41:48PM,0,8284,0,0,0,31,1992,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_17,WAYPOINT,CLHS17-3-0,37.99683315,-109.8995747,4206034.251,596620.9726,11-JUL-13 4:52:04PM,0,8284,0,0,0,31,2002,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_17,WAYPOINT,CLHS17-3-30,37.99669535,-109.8998346,4206018.692,596598.3381,11-JUL-13 4:45:05PM,0,8284,0,0,0,31,2000,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
