Site,Plot,Indicator,1st Hit Avg,1st Hit StDev,Any Hit Avg,Any Hit StDev
BEEF BASIN 2013,12,PEPU7,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,PEPU9,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,PHAU3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,PHAU3/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,PHAUA3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,PIED,0.155,0.069,0.155,0.069
BEEF BASIN 2013,12,PIED/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,PIED/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,PLPA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,PSSP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,SALS0,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,SHRO,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,SHRO/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,SPCO4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,SPCR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,SPCR/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,STUPID,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,SYOR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,SYOR2,0.006,0.010,0.006,0.010
BEEF BASIN 2013,12,SYOR2/D,0.000,0.000,0.011,0.019
BEEF BASIN 2013,12,UNKCLOVER,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,UNKF2A,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,UNKSPR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,YUBA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,YUBA/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,12,YUBA/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,ACHY,0.006,0.010,0.006,0.010
BEEF BASIN 2013,14,ACHY/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,AF01,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,AMSIN,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,AMUT,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,AMUT/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,ARNO4,0.006,0.010,0.006,0.010
BEEF BASIN 2013,14,ARPU9,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,ARPU9/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,ARTR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,ARTR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,ARTR2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,ATCA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,ATCA2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,ATCA2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,BAMU,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,BOGR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,14,BOGR/D,0.000,0.000,0.000,0.000
