"","ACHY","ACHY/D","AF01","AMSIN","AMUT","AMUT/DP","ARNO4","ARPU9","ARPU9/D","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BAMU","BOGR","BOGR/D","BOGR2","BOGR2/D","BRTE","CEIN7","CEIN7/D","CEMO2","CHVI","CHVI/D","CHVI/DP","CHVI8","CHVI8/D","CHVI8/DP","CRAN4","CRFL5","ECCO5/D","ECCOC","ECCOC/D","ELEL","ELEL5","EPVI","ERCI6","ERMI4","FRAN2","GRFA","GUMI","GUSA","GUSA/D","GUSA/DP","GUSA2","GUSA2/D","HECO26","HECO26/D","HYACA2","HYFI/D","JUOS","JUOS/D","JUOS/DP","KRLA2","KRLA2/DP","LEMO2","MAFR3","MAFR3/DP","MAGR2","OPPO","OPPO/D","OPPO/DP","PEPU7","PEPU9","PHAU3","PHAU3/D","PHAUA3","PIED","PIED/D","PIED/DP","PLPA2","PSSP","SALS0","SHRO","SHRO/DP","SPCO4","SPCR","SPCR/D","STUPID","SYOR","SYOR2","SYOR2/D","UNKCLOVER","UNKF2A","UNKSPR","YUBA","YUBA/D","YUBA/DP"
"48",0.0280528052805281,0,0,0,0,0,0,0,0,0.108910891089109,0.0181518151815182,0,0.0181518151815182,0.0280528052805281,0,0,0.275577557755776,0,0,0,0,0,0,0,0.0726072607260726,0,0,0,0,0,0,0,0,0,0.0099009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211221122112211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229372937293729,0,0,0,0,0,0,0,0,0,0,0
"50",0.0491228070175439,0,0,0,0,0,0,0,0,0.0789473684210526,0.068421052631579,0.0192982456140351,0.068421052631579,0.0105263157894737,0.0385964912280702,0,0,0,0,0,0.0105263157894737,0,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105263157894737,0,0,0,0.117543859649123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331578947368421,0,0,0,0,0,0,0,0,0.185964912280702,0,0,0,0,0,0,0,0,0,0,0
"51",0.0839694656488549,0,0,0,0,0,0,0,0,0.0229007633587786,0.0419847328244275,0,0,0,0,0,0.0229007633587786,0,0,0,0,0,0,0,0,0,0,0.0419847328244275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839694656488549,0,0,0,0,0,0,0,0,0.255725190839695,0,0.0229007633587786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358778625954198,0.0419847328244275,0,0,0,0,0,0,0,0.0229007633587786,0,0,0,0,0,0,0,0,0,0,0
"52",0.0111317254174397,0,0,0,0,0,0,0,0,0,0.153988868274583,0,0.0612244897959184,0.0204081632653061,0.0111317254174397,0,0.133580705009276,0,0,0,0,0,0,0,0,0,0,0.0111317254174397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565862708719852,0,0,0,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111317254174397,0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118577075098814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16403162055336,0.0118577075098814,0,0,0,0.0434782608695652,0.033596837944664,0,0,0,0,0,0,0,0,0,0,0.515810276679842,0.0118577075098814,0,0.0869565217391304,0,0,0,0,0,0,0,0,0.0770750988142292,0,0,0,0,0,0,0,0
"55",0.0242825607064018,0,0,0,0,0,0,0,0,0,0.0375275938189846,0,0,0,0,0,0.233995584988962,0,0,0,0.0132450331125828,0,0,0,0,0,0,0.0971302428256071,0,0,0,0,0,0,0,0.0132450331125828,0,0,0,0,0,0,0,0,0.0242825607064018,0,0,0,0.0132450331125828,0,0,0,0.11037527593819,0,0,0,0,0.0242825607064018,0,0,0,0.0485651214128035,0,0.0132450331125828,0,0.0132450331125828,0,0,0,0.172185430463576,0.147902869757174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132450331125828,0,0
"56",0.0718954248366013,0,0,0,0,0,0,0,0,0,0.0359477124183007,0,0,0,0,0,0.362745098039216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107843137254902,0,0,0,0,0.0359477124183007,0,0,0,0.27124183006536,0,0,0,0,0.0555555555555556,0,0,0,0,0.0196078431372549,0,0.0196078431372549,0,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",0.0186125211505922,0,0,0,0,0,0,0,0,0.0186125211505922,0.131979695431472,0.0186125211505922,0,0.0287648054145516,0,0,0.0930626057529611,0.0186125211505922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101522842639594,0,0,0,0,0,0,0,0,0,0,0.0101522842639594,0,0,0,0,0.565143824027073,0,0,0,0,0,0,0.0101522842639594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101522842639594,0,0,0,0,0,0,0,0,0,0.065989847715736,0,0,0,0,0
"58",0.0328185328185328,0,0,0,0,0,0,0,0,0,0.117760617760618,0,0,0,0,0,0.204633204633205,0.0115830115830116,0,0,0,0,0,0,0,0,0,0,0,0.0212355212355212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115830115830116,0,0,0,0.588803088803089,0.0115830115830116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",0.0131578947368421,0,0,0,0,0,0,0,0,0,0.0723684210526316,0,0.0131578947368421,0.0241228070175439,0,0,0.232456140350877,0.0131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723684210526316,0,0,0,0,0,0,0.206140350877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353070175438596,0,0,0,0,0,0,0,0,0,0,0
