"","id","Elevation","SlopeShape","maxClay","minClay","maxSand","minSand","maxDepth","maxpH","minpH","maxDryValue","minDryValue","maxDryChroma","minDryChroma","maxMoistValue","minMoistValue","maxMoistChroma","minMoistChroma","CarbonateStage","BioticCrustClass","Surface","Subsurface","Depth50","Depth100","Depth150","Depth200","MaxAWC","TotalAWC","AWC25","AWC50","AWC100","ARTR2","ARTR2.D","Class"
"46","IL2_1",1862.045842,"VL",5,5,70,70,9,7.8,7.8,6,6,4,4,4,4,4,4,0,5,4,0,0,0,0,0,9.155,9.155,9.155,9.155,9.155,1,1,1
"47","IL2_10",1873.018776,"LC",7,5,75,70,74,8.4,6.6,8,5,4,3,6,4,4,4,0,1,4,4,1,0,0,0,14.97,39.118,14.3134,14.3908,14.12462069,1,1,1
"48","IL2_2",1879.11485,"LV",10,5,60,50,58,8.4,7.6,7,6,6,4,5,3,6,4,1,1,4,6,1,0,0,0,14.97,68.27,11.88536,13.42768,14.19884,0,0,3
"49","IL2_3",1887.649354,"VL",10,5,60,50,200,8.6,6.4,8,6,6,2,7,4,6,4,0,0,4,4,1,1,1,1,16.672,38.657,14.67872,13.7235814,13.7235814,1,1,1
"50","IL2_4",1876.67642,"LC",7,7,65,45,43,8.2,7.6,5,5,4,4,4,3,4,3,1,1,3,4,0,0,0,0,12.621,58.26,9.4168,10.25744,9.34497,0,1,2
"51","IL2_5",1869.970739,"VV",38,5,80,40,200,8.2,7.6,8,5,6,4,6,4,6,4,0,0,4,6,1,1,1,1,9.493,46.633,9.30996,9.3266,9.320254237,0,0,3
"52","IL2_7",1875.457206,"LL",10,7,70,70,59,8.6,7.6,7,5,6,3,5,4,4,4,1,1,4,4,1,0,0,0,13.105,51.002,12.76468,12.92004348,12.92004348,1,1,1
"53","IL2_8",1891.306998,"CC",5,5,60,55,46,8.2,7,8,5,6,3,6,4,4,3,1,1,3,4,0,0,0,0,11.687,19.117,10.32476,11.00588,11.07885714,1,1,1
"54","IL3_1",1887.649354,"LL",7,5,40,40,34,8.1,7.6,6,5,4,4,4,3,4,4,1,1,4,4,0,0,0,0,19.47,57.362,19.07176,19.03847059,19.03847059,1,1,1
"55","IL3_10",1885.515728,"LV",7,5,75,55,154,8.6,7,8,6,4,4,5,4,6,3,1,4,3,4,1,1,1,0,7.43,17.59,5.55,5.315,5.1975,1,1,1
"56","IL3_2",1884.90612,"LV",5,5,80,75,181,8.4,7.6,6,5,6,4,5,3,4,4,0,2,4,4,1,1,1,0,11.687,46.634,8.15816,7.92928,8.00034,1,1,1
"57","IL3_3",1875.762009,"LV",7,5,75,60,200,8.4,7.4,7,6,6,4,5,4,6,4,1,3,4,4,1,1,1,1,19.504,110.484,15.32976,12.84502,12.42681,0,1,2
"58","IL3_4",1905.937576,"VV",18,10,75,35,146,8.2,6.6,6,4,6,4,4,3,6,4,1,3,4,4,1,1,0,0,9.285,27.855,9.285,9.285,9.285,1,1,1
"59","IL3_6",1889.478176,"LL",7,7,70,70,74,8.3,7.6,7,5,6,3,5,4,4,3,1,1,3,4,1,0,0,0,11.542,30.112,10.81976,10.87325926,10.87325926,1,1,1
"60","IL3_7",1884.90612,"CC",7,7,70,60,27,8.1,7.4,5,5,6,4,4,4,4,4,1,1,4,4,0,0,0,0,9.285,40.92,8.409,8.847,8.78775,1,1,1
"61","IL3_9",1877.895635,"LC",7,5,80,70,106,8.4,7.8,8,5,6,3,8,4,6,4,1,1,4,4,1,1,0,0,13.105,49.647,10.261,9.708,9.98128,1,1,1
"62","IL4_10",1895.879054,"VV",3,3,75,60,200,8.4,7.4,8,6,6,2,5,4,6,4,1,5,4,6,1,1,1,1,10.464,33.854,9.155,9.155,9.5477,1,1,1
"63","IL4_2",1867.837113,"VV",5,5,80,65,200,8.4,7.8,8,7,4,4,6,5,4,4,0,2,4,4,1,1,1,1,19.903,38.416,18.8466,18.8466,18.8466,1,1,1
"64","IL4_3",1882.772495,"VL",15,3,40,35,25,8.1,7.8,6,5,4,4,4,3,4,4,1,1,4,4,0,0,0,0,10.443,19.728,9.8254,9.8254,9.8254,0,1,2
"65","IL4_4",1893.745428,"CL",7,7,70,65,15,7.8,7.6,7,6,6,6,5,5,4,4,1,6,4,4,0,0,0,0,7.768,12.848,5.781217391,5.781217391,5.781217391,1,1,1
"66","IL4_5",1870.88515,"VV",7,5,80,75,23,8.1,7.8,6,5,6,4,4,4,4,4,1,1,4,4,0,0,0,0,11.843,42.971,11.61424,11.57812,11.56006,1,1,1
"67","IL4_7",1869.056328,"VV",10,3,70,60,200,8.2,7.4,7,5,4,3,5,3,4,3,0,1,4,4,1,1,1,1,9.155,9.155,9.155,9.155,9.155,0,1,2
"68","IL4_8",1885.515728,"VV",5,5,70,70,10,8.1,8.1,7,7,4,4,5,5,4,4,0,6,4,0,0,0,0,0,10.492,31.448,10.48192,10.484125,10.484125,1,1,1
"69","IL4_9",1888.258961,"CC",5,3,65,65,32,7.8,7.6,6,6,4,4,5,4,4,4,0,0,4,4,0,0,0,0,11.843,38.451,10.87028,10.68114,10.58657,1,1,1
"70","M1_1",1890.697391,"CC",10,7,80,65,182,8.6,7.8,7,6,5,4,5,4,4,3,0,0,3,4,1,1,1,0,10.431,33.119,7.08544,7.42672,8.39626,1,0,1
"71","M1_10",1878.810046,"LL",10,5,75,60,200,8.1,7.3,7,6,4,4,5,4,4,3,1,0,3,4,1,1,1,1,9.155,36.62,9.155,9.155,9.155,0,1,2
"72","M1_2",1894.964643,"LL",5,5,70,70,187,8.2,8,7,5,4,4,5,4,4,3,1,1,3,4,1,1,1,0,7.768,23.008,5.08,5.24128,5.85952,1,1,1
"73","M1_4",1888.258961,"LV",7,5,80,75,171,8.4,7.6,7,5,4,3,5,4,6,2,1,1,2,4,1,1,1,0,17.615,53.795,10.69764,10.56432,13.37398,1,1,1
"74","M1_5",1863.874665,"CC",25,7,65,30,131,8.2,6.6,7,6,6,4,5,4,6,4,0,0,4,6,1,1,0,0,9.155,24.691,8.26732,8.01766,7.89283,1,1,1
"75","M1_6",1894.659839,"CC",7,5,75,70,181,8.4,7.6,8,7,6,4,6,4,4,4,1,1,4,4,1,1,1,0,11.355,38.82,9.155,9.155,9.155,0,0,3
"76","M1_7",1894.964643,"LV",10,5,70,60,200,8,7.5,6,5,4,3,4,4,4,2,1,1,2,3,1,1,1,1,9.493,33.976,8.86024,9.07262,9.18157,1,0,1
"77","M1_8",1875.152402,"LC",10,5,75,70,171,8,8,7,5,4,4,4,3,4,3,1,0,3,4,1,1,1,0,11.355,37.355,9.285,9.285,9.285,0,0,3
"78","M2_1",1872.713972,"VC",15,10,70,65,112,8.6,6.6,8,6,6,3,6,4,6,4,1,1,4,6,1,1,0,0,10.483,40.345,10.30828,9.90064,9.91462,1,1,1
"79","M2_10",1883.686906,"LL",5,3,80,70,200,8.2,7.6,8,6,4,4,8,6,4,4,0,1,4,4,1,1,1,1,6.523,23.428,6.06124,6.29212,6.283380952,0,0,3
"80","M2_3",1864.179468,"LL",10,7,80,80,63,8.6,7.4,7,5,4,4,5,4,6,3,0,1,3,3,1,0,0,0,11.687,45.533,7.98992,8.26732,9.015,0,1,2
"81","M2_5",1892.831017,"VL",7,5,75,60,176,8.4,7.6,7,6,4,3,5,3,4,4,1,1,4,4,1,1,1,0,14.054,45.212,7.913,7.6715,7.72835,0,0,3
