"","X","ARTR2","ARTR2.D","ATCA2","ATCA2.D","ATCO","ATCO.D","CHNAA3","CHVI8","CHVI8.D","EPVI","JUOS","KRLA2","KRLA2.D","PIED","PIED.D","YUAN2","YUAN2.D","YUBA","Elevation","Aspect","Slope","SlopeShape","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","H1.DryRed","H1.DryValue","H1.DryCClass","H1.MoistRed","H1.MoistValue","H1.MoistCClass","H1.Texture","H1.SandPercent","H1.SandSize","H1.ClayPercent","H1.pH","H1.EfferScale","H1.Depth","H1.DryHue","H1.MoistHue","H1.DryChroma","H1.MoistChroma","H1.Effervescence","Tot.DryRed","Tot.DryHue","Tot.DryValue","Tot.DryCClass","Tot.DryChroma","Tot.MoistRed","Tot.MoistHue","Tot.MoistValue","Tot.MoistCClass","Tot.MoistChroma","Tot.Texture","Tot.SandSize","Tot.Effervescence","Tot.EfferScale","Sub.DryRed","Sub.DryHue","Sub.DryValue","Sub.DryCClass","Sub.DryChroma","Sub.MoistRed","Sub.MoistHue","Sub.MoistValue","Sub.MoistCClass","Sub.MoistChroma","Sub.Texture","Sub.SandSize","Sub.Effervescence","Sub.EfferScale"
"40","IL1_10",0,0.0333333333333333,0.0444444444444444,0.00555555555555556,0,0,0,0,0,0,0,0.427777777777778,0,0,0,0,0,0,1878.200439,200,12,"CC",0,1,95,0,2,6,2,2,4,2,"SL",60,"F",7,7.8,1,5,"7.5YR","7.5YR",4,3,"VS",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3
"41","IL1_3",0,0,0.0166666666666667,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1884.90612,270,1,"LL",1,3,200,1,2,6,2,2,4,2,"SL",70,"F",7,8.2,3,7,"7.5YR","7.5YR",4,4,"ST",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3
"42","IL1_4",0.261111111111111,0.183333333333333,0,0,0,0,0,0.4,0.0166666666666667,0.0333333333333333,0,0,0,0,0,0,0,0,1878.505243,110,4,"CC",1,2,96,0,2,5,2,2,3,2,"SL",65,"VF",7,7.6,0,7,"7.5YR","7.5YR",4,4,"NE",2,"7.5YR",8,2,4,2,"7.5YR",4,2,4,"SL","CO","VE",4,2,"7.5YR",8,1,1,2,"7.5YR",4,2,4,"SL","CO","VE",4
"43","IL1_5",0.0166666666666667,0.0777777777777778,0,0,0,0,0,0.00555555555555556,0,0.0333333333333333,0,0,0,0,0,0,0,0,1875.762009,310,4,"VV",1,2,121,0,2,6,2,2,4,2,"SL",60,"F",5,6.5,0,8,"7.5YR","7.5YR",4,4,"NE",2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3
"44","IL1_8",0.0166666666666667,0.0555555555555556,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876.981224,200,2,"LV",1,2,148,0,2,5,2,2,4,2,"SL",70,"VF",7,7.2,0,7,"7.5YR","7.5YR",4,4,"NE",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3
"45","IL1_9",0.172222222222222,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0388888888888889,0,0,0,0,1863.874665,190,18,"VV",1,5,8,0,2,5,2,2,4,2,"SL",65,"MIX",10,7.8,3,8,"7.5YR","7.5YR",4,4,"ST",2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"SL","MIX","ST",3,1,"10YR",4,1,1,1,"10YR",3,2,3,"CL","CO","LS",0
"46","IL2_1",0.0833333333333333,0.0944444444444444,0.0277777777777778,0,0,0,0,0.0111111111111111,0,0,0,0.0388888888888889,0,0,0,0,0,0,1862.045842,280,7,"LV",0,5,9,0,2,6,2,2,4,2,"SL",70,"F",5,7.8,3,9,"7.5YR","7.5YR",4,4,"ST",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,1,"10YR",4,1,1,1,"10YR",3,2,3,"CL","CO","LS",0
"47","IL2_10",0.0444444444444444,0.333333333333333,0.0777777777777778,0,0,0,0,0.216666666666667,0,0,0,0.0666666666666667,0,0,0,0,0,0,1873.018776,10,5,"CL",0,1,74,0,2,6,2,2,4,2,"SL",70,"F",7,6.6,0,5,"7.5YR","7.5YR",4,4,"NE",2,"7.5YR",6,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3
"48","IL2_2",0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0.177777777777778,0,0,0,0,0,0,1879.11485,260,3,"LV",1,1,58,0,2,6,2,2,3,2,"SL",60,"VF",5,7.6,2,5,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",6,3,6,2,"7.5YR",4,3,6,"SL","F","ST",3,2,"7.5YR",6,3,6,2,"7.5YR",4,3,6,"SL","F","ST",3
"49","IL2_3",0.127777777777778,0.177777777777778,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1887.649354,90,4,"LV",0,0,200,1,2,6,2,2,4,2,"SL",55,"F",7,6.4,0,4,"7.5YR","7.5YR",4,4,"NE",3,"5YR",7,2,4,3,"5YR",5,2,4,"SL","F","ST",3,3,"5YR",7,2,4,3,"5YR",5,2,4,"SL","F","ST",3
